num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,524.967,2268.55,1907.94,1537.71,1115.78,2813.72,2176.52,1747.03,1240.12,2766.78,2059.29,1664.86,1171.69,2115.4,1742.34,1487.54,
6000000,0.9,345.252,1139.36,954.031,768.596,763.988,1996.51,1523.35,1178.6,838.465,2002.93,1516.29,1231.67,848.986,1538.39,1222.62,1050.42,
11000000,0.9,335.55,1091.21,903.136,723.526,741.315,1887.51,1430.21,1134.88,807.638,1939.14,1440.94,1179.63,822.563,1484.01,1190.56,1007.64,
16000000,0.9,331.602,1073.16,886.394,712.383,730.651,1849.6,1401.26,1123.52,799.288,1905.2,1433.05,1160.74,807.946,1452.89,1176.91,994.216,
21000000,0.9,329.829,1054.13,874.857,706.08,729.855,1832.52,1396.51,1109.77,795.053,1884.71,1421.53,1152.79,803.171,1453.75,1169.27,993.272,
26000000,0.9,328.253,1054.69,875.5,698.847,728.369,1829.65,1385.69,1103.2,790.923,1870.96,1413.34,1146.11,801.735,1446.33,1163.25,987.931,
31000000,0.9,327.718,1052.58,867.844,698.714,726.318,1825.17,1382.34,1098.34,794.18,1880.72,1415.82,1145.08,798.438,1444.1,1158.43,985.711,
36000000,0.9,321.771,1030.95,857.647,695.585,724.583,1816.7,1376.93,1095.38,786.943,1868.2,1407.09,1141.92,797.636,1441.39,1163.45,982.272,
41000000,0.9,321.812,1031.85,853.048,685.668,723.208,1815.84,1378.54,1092.4,785.265,1856.91,1404.1,1141.56,795.383,1436.26,1156.6,982.339,
46000000,0.9,326.695,1043.12,864.009,693.706,722.869,1817.66,1374.75,1091.91,785.442,1859.62,1400.47,1139.69,786.355,1418.84,1149.04,971.308,
51000000,0.9,321.34,1034.93,858.306,692.179,722.911,1810.29,1370.76,1092.67,784.628,1857.41,1400.65,1137.55,793.527,1432.54,1155.82,978.997,
56000000,0.9,326.489,1042.65,860.885,692.532,722.409,1808.13,1371.24,1091.41,771.712,1812.28,1373.35,1113.12,793.297,1432.09,1155.29,979.96,
61000000,0.9,322.447,1025.64,855.898,686.95,721.493,1810.05,1370.14,1090.75,783.2,1849.37,1396.95,1136.67,793.941,1431.45,1155.67,980.892,
66000000,0.9,321.961,1039.55,861.314,687.349,721.55,1812.83,1369.49,1088.18,783.211,1852.14,1399.08,1136.83,792.536,1430.31,1153.28,979.515,
71000000,0.9,326.142,1039.05,856.483,686.593,720.594,1806.59,1368.14,1088.53,776.321,1843.24,1385.95,1125.06,782.715,1415.99,1142.53,979.21,
76000000,0.9,325.286,1040.19,860.355,690.05,713.365,1775.15,1346.42,1070.26,783.114,1847.7,1397.13,1134.93,791.925,1429.14,1153.72,978.988,
81000000,0.9,321.636,1037.65,859.54,689.842,720.75,1804.22,1367.54,1089.48,782.002,1846.25,1396.27,1133.8,776.787,1427.86,1145.41,961.821,
86000000,0.9,326.234,1038.22,855.589,685.46,720.457,1805.66,1367.58,1087.7,781.961,1847.56,1397.08,1134.36,776.524,1404.98,1141.65,969.461,
91000000,0.9,322.832,1028.54,858.443,688.213,720.833,1807.05,1369.67,1088.67,781.086,1845.51,1394.07,1132.94,779.904,1412.31,1144.86,965.351,
96000000,0.9,324.794,1037.98,859.653,690.071,713.946,1791.37,1360.36,1088.74,782.147,1845.76,1396.75,1134.35,780.292,1421.61,1142.93,969.654,
