num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,316.053,1653.2,1096.95,876.32,361.419,1841.71,1140.54,922.882,404.062,1972.98,1236.24,994.703,582.151,2347.22,1378.47,1083.18,154.211,1177.31,947.018,853.119,174.39,1316.76,977.503,883.325,231.066,1526.93,1047.33,919.399,330.711,1767.5,1199.5,987.268,
6000000,0.9,367.004,1153.42,1024.98,1016.69,417.972,1324.52,989.813,1024.49,512.042,1581.4,1131.48,1026.05,648.477,1763.13,1270.33,1033.02,189.562,829.657,723.572,733.638,220.638,962.801,742.782,715.177,325.524,1128.45,854.055,745.719,591.768,1415.16,937.66,731.492,
11000000,0.9,309.12,1028.6,796.573,690.418,331.611,1197.25,825.831,731.575,386.583,1312.59,907.956,749.987,487.855,1514.29,1002.99,830.142,150.649,759.898,633.971,615.772,168.809,866.386,650.76,624.307,217.733,1022.63,720.047,640.468,332.786,1231.77,821.697,676.807,
16000000,0.9,314.769,1027.53,834.768,752.606,350.524,1200.78,858.935,783.357,401.811,1400.26,913.285,823.41,503.543,1582.07,1049.24,881.23,176.762,790.496,696.641,685.934,202.831,900.267,693.364,686.977,281.488,1088.61,785.018,714.304,491.069,1254.07,860.484,713.063,
21000000,0.9,320.482,1037.16,841.539,758.678,355.959,1142.54,854.976,813.225,408.804,1324.87,934.163,839.03,516.454,1588.19,1045.92,871.201,158.944,759.413,657.476,633.582,180.282,865.304,673.258,657.001,237.706,1005.21,724.836,664.219,377.773,1191.62,858.522,699.625,
26000000,0.9,293.143,978.724,734.195,622.15,321.733,1134.87,764.917,663.03,362.475,1246.87,805.745,694.125,464.104,1462.44,937.164,748.53,148.381,745.984,617.538,568.58,161.091,785.975,608.242,567.976,208.93,962.401,664.034,604.655,310.555,1101.09,748.903,633.954,
31000000,0.9,302.179,986.641,759.112,672.747,332.29,1126.95,794.3,700.658,370.758,1220.45,813.511,717.978,460.235,1421.93,944.234,758.281,159.695,738.585,638.579,625.746,182.09,844.781,655.068,641.25,242.527,1007.06,734.867,655.751,390.338,1204.81,818.554,684.125,
36000000,0.9,311.441,1022.05,789.655,700.38,340.436,1132.58,818.21,736.405,391.167,1283.8,881.502,772.571,492.135,1519.85,997.87,829.516,155.498,738.401,639.432,594.108,170.194,824.666,637.196,607.956,217.552,961.891,669.769,619.05,344.117,1142.87,790.642,652.903,
41000000,0.9,288.344,953.256,716.73,621.141,313.494,1073.25,734.996,636.409,359.784,1213.31,779.527,676.635,446.993,1427.63,872.316,706.29,141.997,719.589,597.894,543.951,162.314,820.628,618.509,572.411,207.429,974.645,674.863,607.625,312.162,1133.97,762.579,627.463,
46000000,0.9,299.163,986.348,755.113,642.343,325.314,1106.65,780.558,690.868,364.086,1210.23,794.563,695.282,457.73,1420.34,913.119,745.778,155.546,743.23,635.899,610.538,174.86,839.122,642.202,621.015,229.779,988.544,713.344,644.638,361.947,1172.57,832.614,658.537,
