num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,1061.86,2225.66,1988.77,1782.71,774.176,1640.31,1394.58,1212.67,
6000000,0.8,720.885,1659.62,1384.53,1160.57,558.367,1201.61,977.213,820.847,
11000000,0.8,698.164,1615.04,1325.94,1122.38,547.178,1163.43,942.705,794.691,
16000000,0.8,687.983,1588.36,1303.21,1108.49,538.462,1152,936.31,790.705,
21000000,0.8,681.763,1576.72,1288.09,1096.63,538.687,1144.25,927.2,781.742,
26000000,0.8,679.615,1569.1,1279.31,1087.91,537.209,1139.58,922.598,778.823,
31000000,0.8,678.385,1559.6,1273.67,1085.88,536.253,1139.06,922.686,777.981,
36000000,0.8,677.315,1556.87,1270.35,1084.57,535.359,1136.62,919.887,775.117,
41000000,0.8,660.474,1507.62,1235.52,1061.81,534.684,1136.1,919.018,775.088,
46000000,0.8,673.767,1554.55,1270.01,1078.82,534.536,1131.72,917.014,772.386,
51000000,0.8,673.752,1554.82,1270.21,1079.83,533.801,1132.78,917.6,773.526,
56000000,0.8,672.579,1552.07,1268.45,1074.99,525.473,1126.37,903.286,759.508,
61000000,0.8,658.359,1528.8,1244.93,1057.22,533.295,1131.5,916.352,771.327,
66000000,0.8,672.004,1554.42,1261.77,1072.42,523.441,1112.09,907.811,769.146,
71000000,0.8,671.214,1546.07,1262.1,1073.78,526.968,1115.17,908.75,762.126,
76000000,0.8,671.24,1549.15,1263.04,1068.44,526.059,1114.25,906.992,770.632,
81000000,0.8,663.066,1546.36,1239.55,1054.47,532.443,1130.54,914.297,770.361,
86000000,0.8,671.018,1547.76,1262.21,1071.38,528.101,1129.59,903.913,759.635,
91000000,0.8,671.002,1545.42,1261.64,1071.26,532.197,1129.48,913.986,770.177,
96000000,0.8,659.704,1537.44,1241.22,1058.14,532.22,1128.97,914.186,769.997,
