num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
50000000,0.6,996.225,2773.18,2432.49,1969.04,1410.55,4011.58,3807.08,3605.81,1438.01,4037.05,3964.42,3893.79,1234.86,2290.44,2284.89,2279.43,
50000000,0.65,939.498,2642.72,2289.44,1830.49,1396.97,3968.15,3680.56,3414.98,1433.6,4024.87,3896,3777.13,1235.54,2290.24,2275.33,2260,
50000000,0.7,880.394,2508.04,2147.88,1700.83,1361.63,3909.88,3521.38,3185.91,1425.21,4001.49,3787.95,3602.33,1234.72,2287.75,2251.24,2216.93,
50000000,0.75,816.087,2367.7,2006.46,1579.89,1350.5,3831.79,3331.05,2927.73,1411.94,3965.25,3632.56,3363.33,1232.34,2281.82,2203.71,2134.63,
50000000,0.8,744.233,2219.19,1865.63,1467.11,1314.4,3728.85,3107.83,2645.29,1390.78,3906.5,3417.97,3057.21,1224.87,2267.73,2118.34,1995.29,
50000000,0.82,712.521,2157.41,1808.72,1424.14,1296.36,3678.34,3010.51,2528.49,1379.13,3875.19,3314.81,2918.55,1220.33,2259.05,2069.55,1919.85,
50000000,0.84,678.871,2095.55,1751.61,1382.84,1275.69,3621.27,2908.39,2410.12,1365.41,3837.34,3201.95,2771.24,1215.15,2248.36,2011.67,1833.24,
50000000,0.86,642.265,2032,1693.84,1342.31,1251.95,3556.59,2802.27,2290.85,1349.2,3794.07,3079.28,2616.84,1206.87,2233.85,1942.72,1734.55,
50000000,0.88,601.728,1966.82,1634.7,1302.99,1224.37,3482.62,2691.2,2171.26,1329.28,3739.42,2946.85,2456.91,1197.04,2216.07,1862.71,1624.35,
50000000,0.9,556.894,1902.32,1574.75,1265.04,1191.96,3396.03,2575.84,2051.62,1305.28,3675.05,2805.38,2293.61,1184.32,2192.61,1770.33,1504.54,
50000000,0.91,-50,-50,-50,-50,1173.16,3348.02,2516.28,1992.19,1290.85,3638.46,2732.13,2210.74,1176.02,2178.41,1719.77,1441.22,
50000000,0.92,-50,-50,-50,-50,1152.46,3294.77,2455.43,1932.27,1274.73,3596.31,2656.01,2127.71,1166.59,2161.66,1665.97,1375.89,
50000000,0.93,-50,-50,-50,-50,1129.15,3236.37,2392.61,1872.99,1256.42,3549.15,2577.57,2044.16,1155.93,2143.14,1609.6,1309.26,
50000000,0.94,-50,-50,-50,-50,1103.01,3171.58,2328.16,1813.23,1235.34,3496.14,2497.41,1961.3,1142.9,2121.2,1549.79,1241.27,
50000000,0.95,-50,-50,-50,-50,1072.68,3099.14,2260.73,1753.34,1210.45,3434.34,2414.52,1877.49,1126.98,2095.46,1486.96,1171.82,
50000000,0.96,-50,-50,-50,-50,1037,3016.04,2190.06,1693.17,1180.57,3362.98,2328.57,1793.71,1107.64,2063.81,1420.86,1101.53,
50000000,0.97,-50,-50,-50,-50,992.431,2916.56,2114.64,1632.72,1142.27,3275.21,2238.57,1710.17,1081.5,2024.85,1351.05,1030.09,
50000000,0.98,-50,-50,-50,-50,933.938,2792.9,2030.82,1571.69,1091.02,3161.89,2141.74,1625.56,1044.96,1972.82,1276.8,957.972,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,1011.62,2991.5,2030.88,1538.67,986.379,1890.94,1193.49,883.837,
