num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
50000000,0.6,1051.08,3081.61,2496.89,2114.66,857.301,1733.94,1404.37,1184.76,
50000000,0.65,1052.37,3081.34,2499.52,2116.99,858.382,1734.13,1405.23,1185.38,
50000000,0.7,1053.35,3082.1,2501.74,2119.18,859.268,1734.1,1405.88,1186.09,
50000000,0.75,1054.57,3083.26,2504.2,2121.74,859.796,1734.58,1406.83,1186.83,
50000000,0.8,1056.07,3083.77,2507.02,2124.03,860.473,1734.64,1407.36,1187.56,
50000000,0.82,1056.13,3084.51,2508.11,2125.18,861.298,1735.2,1407.72,1187.81,
50000000,0.84,1057.82,3085.08,2509.31,2126.44,861.176,1735.19,1407.95,1188,
50000000,0.86,-50,-50,-50,-50,861.598,1735.44,1408.3,1188.39,
50000000,0.88,-50,-50,-50,-50,861.726,1735.51,1408.77,1188.51,
50000000,0.9,-50,-50,-50,-50,861.747,1735.76,1408.93,1188.93,
50000000,0.91,-50,-50,-50,-50,862.018,1735.91,1409.36,1189.15,
50000000,0.92,-50,-50,-50,-50,862.274,1735.9,1409.22,1189.16,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,
