num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,1075.46,5341.88,4558.72,3779.77,2001.13,6454.08,4927.08,4055.49,2176.61,5596.55,4052.18,3321.57,1937.52,3785.31,3044.27,2637.91,
6000000,0.9,606.513,2147,1781.94,1436.12,1291.08,3806.54,2896.1,2314.05,1420.81,4067.91,3104.28,2540.5,1311.17,2354.87,1899.62,1616.02,
11000000,0.9,579.728,2009.47,1664.96,1340.3,1238.76,3577.99,2717.14,2166.77,1359.5,3877.07,2955.38,2417.45,1243.09,2268,1829.74,1554.95,
16000000,0.9,570.065,1963.36,1626.32,1307.93,1219.57,3500.46,2656.73,2117.96,1337.85,3795.98,2894.97,2366.78,1219.19,2236.71,1804.92,1534.07,
21000000,0.9,564.799,1940.5,1607.12,1292.12,1210.98,3461.76,2626.88,2093.43,1325.49,3755.05,2863.5,2341.58,1206.71,2221.1,1791.8,1522.48,
26000000,0.9,562.15,1927.2,1595.68,1282.78,1203.65,3439.81,2609.57,2079.09,1318.73,3727.01,2843.68,2325.47,1199.15,2210.96,1784.24,1515.81,
31000000,0.9,559.978,1918.42,1588.2,1276.39,1199.67,3425.34,2598.24,2069.61,1314.06,3710.8,2831.33,2314.52,1194.16,2204.94,1779.19,1512.21,
36000000,0.9,558.701,1912.3,1582.62,1272.34,1196.71,3413.23,2589.48,2062.59,1310.71,3696.96,2820.76,2305.99,1190.57,2199.91,1776.16,1509.28,
41000000,0.9,557.838,1907.82,1579.03,1269.08,1194.86,3404.91,2582.63,2057.67,1308.42,3687.14,2813.34,2299.96,1187.81,2196.34,1773.24,1507.23,
46000000,0.9,557.161,1904.31,1576.39,1266.43,1192.64,3399.31,2578.1,2053.83,1306.52,3679.38,2808.48,2296.07,1185.23,2193.25,1771.08,1505.25,
51000000,0.9,556.409,1901.49,1574,1264.54,1192.18,3395.21,2575.3,2051.33,1305.17,3674.08,2804.3,2292.25,1183.63,2191.59,1769.81,1504.16,
56000000,0.9,556.508,1899.39,1572.35,1263.14,1190.64,3391.54,2571.87,2048.64,1303.86,3668.71,2800.68,2289.19,1182.35,2189.88,1768.57,1503.19,
61000000,0.9,555.822,1897.62,1570.88,1261.64,1189.79,3388.41,2570.15,2046.82,1302.66,3665.46,2798.29,2287.95,1181.44,2189.05,1768.3,1502.92,
66000000,0.9,555.985,1896.19,1569.57,1260.59,1189.26,3385.43,2568.17,2045.6,1301.58,3661.17,2796.04,2285.77,1180.37,2187.53,1767.4,1502.46,
71000000,0.9,555.744,1895.24,1568.6,1259.95,1188.88,3383.3,2566.39,2044.18,1301.17,3658.39,2793.81,2284.33,1179.59,2186.57,1766.85,1502.08,
76000000,0.9,555.68,1894.35,1567.87,1259.03,1188.32,3381.68,2565.3,2043.38,1300.82,3656.01,2792.42,2283.38,1178.88,2185.48,1766,1501.5,
81000000,0.9,555.629,1893.67,1566.98,1258.5,1187.76,3380.51,2564.59,2042.42,1300.09,3654.29,2791.41,2282.27,1178.42,2184.68,1765.87,1501.44,
86000000,0.9,555.655,1892.66,1566.56,1258.19,1187.4,3378.88,2563.41,2041.55,1299.72,3652.26,2790.18,2281.42,1177.76,2184.58,1765.82,1501.35,
91000000,0.9,555.221,1892.25,1565.92,1257.47,1187.52,3378.34,2562.79,2041.11,1299.46,3650.79,2789.37,2280.82,1177.44,2183.9,1765.54,1501.2,
96000000,0.9,555.319,1891.73,1565.45,1257.29,1187.51,3378.06,2562.43,2040.88,1299.51,3649.74,2788.61,2280.39,1176.87,2183.04,1765.37,1501.28,
