num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.8,797.373,3256.09,2647.99,2386.52,886.535,3630.43,2768.11,2530.65,1057.65,4096.1,3001.06,2713.52,1387.96,4679.33,3384.09,2906.44,394.105,2064.18,1827.4,1783,450.37,2320.8,1859.08,1815.85,606.323,2713.36,2029.55,1857.63,995.042,3148.17,2276.29,1884.55,
6000000,0.8,878.57,2550.44,2237.85,2176.76,951.7,2910.63,2303.93,2230.61,1098.05,3396.53,2520.72,2287.04,1336.63,3942.79,2812.55,2316.87,457.171,1399.68,1242.39,1234.51,519.774,1612.21,1262.61,1244.56,723.902,1964.67,1426.09,1251.25,1128.75,2294.63,1591.79,1252.24,
11000000,0.8,847.022,2423.45,2100.01,2023.93,912.764,2755.11,2163.28,2082.75,1041.06,3196.99,2357.92,2147.92,1261.98,3723.99,2642.48,2194.17,489.919,1370.34,1208.73,1206.39,566.555,1603.62,1238.29,1209.63,837.453,2000.19,1430.71,1211.06,1209.12,2281.2,1567.63,1211.17,
16000000,0.8,833.987,2369.15,2043.23,1958.42,896.085,2688.73,2103.35,2017.77,1018.3,3115.09,2288.71,2085.29,1232.36,3630.51,2569.15,2137.92,431.353,1333.28,1180.18,1163.12,482.721,1522,1197.55,1179.5,641.787,1827.36,1334.12,1196.05,988.756,2152.35,1502.04,1202.07,
21000000,0.8,825.656,2341.05,2011.18,1923.34,887.19,2655.04,2070.43,1981.91,1006.09,3072.43,2250.93,2051.11,1216.53,3581.16,2529.74,2106.52,455.932,1335.4,1184.05,1176.68,515.834,1539.69,1203.5,1185.94,714.166,1878.88,1360.69,1192.39,1094.79,2197.39,1519.99,1193.3,
26000000,0.8,820.189,2322.53,1990.86,1900.15,881.498,2632.46,2049.52,1959.47,997.992,3044.99,2227.25,2028.9,1207.08,3548.61,2503.47,2086.43,424.843,1317.4,1163.78,1143.78,473.913,1500.5,1180.82,1161.31,624.059,1795.99,1311.51,1181.06,954.631,2116.84,1478.9,1189.51,
31000000,0.8,816.701,2310.24,1977.49,1884.55,876.761,2617.72,2036.27,1944.46,992.428,3026.17,2211.99,2014.42,1200.22,3527.39,2486.63,2073.42,443.051,1322.95,1172.87,1161.58,498.071,1517.15,1190.69,1173.96,669.048,1835.97,1335.85,1184.72,1038.45,2158.41,1498.73,1187.02,
36000000,0.8,813.964,2301.49,1967.49,1873.56,873.471,2606.15,2025.31,1933.07,988.5,3012.69,2199.64,2003.33,1195.33,3512.36,2474,2063.14,421.957,1310.97,1157.08,1135.64,469.95,1491.73,1174.07,1153.75,616.205,1782.51,1302.4,1174.85,939.599,2101.19,1469.65,1184.56,
41000000,0.8,811.569,2294.41,1959.74,1864.59,871.066,2597.51,2017.59,1924.39,985.074,3001.5,2190.53,1994.59,1191.73,3500.07,2463.76,2054.91,436.349,1315.05,1165.43,1151.67,488.773,1504.75,1182.45,1165.39,654.46,1813.73,1321.57,1178.96,1007.06,2135.73,1485.87,1183.11,
46000000,0.8,809.851,2288.64,1953.84,1858.33,869.073,2590.68,2011.41,1917.66,982.725,2993.31,2183.2,1988.51,1188.6,3490.03,2456.13,2048.88,420.244,1306.37,1152.38,1130.04,467.753,1485.73,1169.17,1148.44,611.822,1774,1295.86,1170.12,931.16,2091.04,1462.77,1180.55,
51000000,0.8,808.63,2284.36,1948.72,1852.67,867.027,2586.28,2006.11,1911.93,980.406,2987.42,2177.8,1982.69,1186.43,3483.72,2449.99,2043.98,432.129,1310.65,1160.34,1144.73,483.126,1497.3,1177.08,1159.56,642.746,1800.21,1312.81,1175.07,987.027,2121.89,1477.96,1180.38,
56000000,0.8,807.671,2281.38,1945.24,1848.25,866.023,2582.03,2002.45,1907.74,978.779,2982.65,2173.11,1978.26,1184.75,3477.75,2444.94,2039.81,419.102,1303.55,1149.25,1126.37,466.285,1482.29,1166.18,1145.01,609.123,1768.79,1292,1167.29,925.435,2085.56,1459.14,1178.43,
61000000,0.8,806.567,2278.18,1942.17,1844.68,864.923,2578.38,1999.25,1904.32,977.705,2978.05,2169.93,1975.15,1182.94,3471.79,2441.31,2037.04,429.232,1308.42,1157.7,1140.67,479.378,1493.06,1174.38,1156.48,634.947,1791.88,1307.69,1173.19,973.259,2112.45,1473.17,1179.31,
