num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,1917.45,4566.11,4013.67,3618.41,1465.36,2710.41,2287.62,2001.56,
6000000,0.8,1155.6,3375.22,2786.07,2387.7,936.761,1838.94,1500.09,1270.54,
11000000,0.8,1103.43,3232.59,2649.58,2257.04,896.182,1783.62,1451.2,1226.54,
16000000,0.8,1083.7,3173.17,2592.38,2203.59,881.764,1763.13,1432.92,1210.21,
21000000,0.8,1073.82,3142.77,2562.64,2175.85,874.501,1753.63,1423.58,1201.98,
26000000,0.8,1067.87,3122.54,2543.18,2158.46,869.98,1746.9,1418.08,1196.86,
31000000,0.8,1063.65,3110.23,2531.82,2147.41,866.677,1743.03,1414.85,1194.28,
36000000,0.8,1060.42,3099.72,2522.44,2138.76,864.444,1740.33,1412.23,1191.79,
41000000,0.8,1059.68,3092.7,2515.14,2132.03,862.554,1737.53,1409.53,1189.39,
46000000,0.8,1056.63,3086.27,2509.67,2126.72,861.573,1735.57,1408.29,1188.14,
51000000,0.8,1055.23,3082.77,2505.88,2123.18,860.323,1734.28,1406.73,1186.89,
56000000,0.8,1054.41,3079.65,2502.34,2119.76,859.443,1732.94,1405.49,1185.81,
61000000,0.8,1052.99,3076.03,2499.62,2117.23,858.812,1732.27,1405.33,1185.62,
66000000,0.8,1051.95,3073.43,2496.91,2114.85,858.343,1731.57,1404.48,1184.97,
71000000,0.8,1051.36,3070.9,2494.58,2113.35,857.561,1730.67,1403.59,1184.07,
76000000,0.8,1050.79,3068.91,2492.89,2110.86,857.199,1730.18,1403.01,1183.51,
81000000,0.8,1050.21,3067.4,2491.35,2109.74,856.841,1729.42,1402.42,1182.79,
86000000,0.8,1049.8,3065.58,2490.23,2108.21,856.13,1729.17,1402.49,1183.02,
91000000,0.8,1049.46,3064.63,2488.82,2107.32,855.971,1728.9,1402.23,1182.79,
96000000,0.8,1049,3063.55,2487.74,2106.01,855.698,1728.47,1401.55,1182.14,
