num_keys,load_factor,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,1.00092,1.00028,1.00244,1.00457,
20000000,0.65,1.00164,1.00091,1.00731,1.01357,
20000000,0.7,1.00315,1.00245,1.0186,1.0342,
20000000,0.75,1.00663,1.00583,1.0418,1.07603,
20000000,0.8,1.01345,1.01256,1.08645,1.15569,
20000000,0.82,1.0176,1.01669,1.1132,1.20307,
20000000,0.84,1.023,1.02205,1.14717,1.26314,
20000000,0.86,1.02991,1.02897,1.19025,1.33915,
20000000,0.88,1.03883,1.03786,1.24442,1.43471,
20000000,0.9,1.05078,1.04957,1.31262,1.55466,
20000000,0.91,1.05811,1.05677,1.3538,1.62704,
20000000,0.92,1.06684,1.06509,1.39948,1.70765,
20000000,0.93,1.07713,1.07494,1.45172,1.79925,
20000000,0.94,1.08937,1.08648,1.51037,1.90257,
20000000,0.95,1.10509,1.10059,1.57746,2.02018,
20000000,0.96,1.12485,1.11792,1.65473,2.15525,
20000000,0.97,1.15166,1.14038,1.74399,2.31002,
20000000,0.98,1.19118,1.17195,1.85131,2.49276,
20000000,0.99,1.26017,1.22508,1.98673,2.71089,
