num_keys,load_factor,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
50000000,0.6,1174.71,1762.17,1457.88,1451.86,1348.15,2091.99,1519.91,1450.05,1614.12,2638.85,1799.58,1450.86,1725.76,2883.38,1920.22,1451.39,
50000000,0.65,1174.64,1760.13,1462.62,1456.25,1336.21,2068.21,1509.89,1458.17,1584.51,2588.21,1774.06,1457.86,1724.97,2881.05,1915.57,1459.44,
50000000,0.7,1171.05,1757.55,1469.6,1459.46,1324.43,2043.94,1502.84,1461.43,1560.5,2525.05,1742.74,1465.94,1718.16,2872.84,1913.52,1465.82,
50000000,0.75,1175.21,1759.26,1473.27,1454.05,1305.53,2006.82,1493.83,1466.29,1501.15,2405.29,1677.3,1478.34,1694.25,2811.9,1890.2,1481.66,
50000000,0.8,1171.09,1759.25,1460.68,1427.6,1291.68,1989.15,1480.47,1448.95,1471.3,2351.41,1641.19,1474.96,1663.73,2751.61,1856.02,1489.45,
50000000,0.82,1173.85,1759.03,1459.34,1426.17,1291.68,1988.43,1479.85,1448.11,1475.38,2352.85,1638.52,1474.14,1664.69,2752.03,1857.01,1489.52,
50000000,0.84,1173.71,1758.76,1459.57,1426.87,1289.83,1989.89,1478.87,1448.77,1476.44,2351.96,1639.04,1474.07,1661.69,2752.24,1857.19,1489.58,
50000000,0.86,1169.39,1756.5,1417.84,1355.78,1283.02,1969.13,1442.88,1386.75,1445.76,2299.43,1577.26,1432.67,1622.76,2676.51,1799.85,1472.99,
50000000,0.88,1171.24,1756.49,1417.93,1357.07,1282.49,1969.01,1443.36,1387.5,1443.85,2298.93,1574.63,1432.29,1625.19,2673.9,1799.6,1473.71,
50000000,0.9,1171.44,1756.19,1419.2,1354.67,1282.86,1969,1442.41,1387.05,1448.76,2299.5,1577.64,1433.26,1627.87,2673.56,1796.22,1474.48,
50000000,0.91,1173.23,1756.66,1418,1356.37,1282.78,1968.78,1442.01,1386.83,1443.01,2298.96,1576.49,1432.83,1620.16,2674.29,1795.42,1472.62,
50000000,0.92,1163.67,1738.24,1285.05,1153.91,1262.05,1933.86,1318.63,1196.25,1413.02,2232.24,1428.82,1260.79,1582.79,2572.92,1631.07,1334.22,
50000000,0.93,1164.91,1737,1285.06,1152.87,1262.55,1933.58,1317.28,1196.77,1412.25,2232.09,1427.69,1260.85,1580.81,2573.34,1630.89,1332.47,
50000000,0.94,1163.57,1737.79,1285.38,1153.01,1260.41,1934.26,1318.51,1196.56,1418.39,2231.97,1427.55,1261.11,1575.29,2574.06,1630,1334.12,
50000000,0.95,1163.13,1737.46,1284.02,1153.63,1262.81,1933.03,1318.01,1195.79,1414.46,2231.93,1429.27,1260.55,1574.78,2572.85,1631.8,1334.85,
50000000,0.96,1160.27,1737.35,1285.25,1154.39,1263.03,1933.86,1317.73,1195.87,1411.09,2232.3,1428.75,1260.94,1578.1,2573.86,1632.39,1333.81,
50000000,0.97,1162.52,1737.44,1284.31,1153.44,1263.99,1933.99,1317.65,1195.9,1416.86,2232.14,1427.11,1261.46,1577.61,2573.25,1630.69,1333.58,
50000000,0.98,1161.65,1737.58,1284.99,1154.12,1263.95,1933.77,1319.08,1196.24,1413.29,2231.94,1428.38,1260.9,1578.3,2573.86,1630.26,1333.33,
50000000,0.99,1164.19,1737.58,1285.11,1153.77,1262.57,1933.45,1318.29,1196.32,1410.98,2231.84,1428.28,1261.2,1581.13,2572.69,1630.1,1333.09,
