num_keys,load_factor,insert_32,find_32_100,find_32_50,find_32_0,
50000000,0.6,1087.51,2214.06,1818.56,1548.18,
50000000,0.65,1095.87,2231.43,1835.29,1563.18,
50000000,0.7,1108.59,2247.02,1851.9,1578.2,
50000000,0.75,1111.65,2268.01,1867.46,1594.06,
50000000,0.8,1127.58,2284.45,1885.79,1608.7,
50000000,0.82,1133.81,2292.19,1893.65,1615.06,
50000000,0.84,1142.41,2299.22,1902.71,1621.61,
50000000,0.86,1132.07,2310.37,1906.17,1628.94,
50000000,0.88,1147.65,2314.96,1915.39,1634.31,
50000000,0.9,1148.34,2322.94,1920.63,1640.86,
50000000,0.91,1152.18,2327.19,1925.77,1644.97,
50000000,0.92,1148.7,2331.28,1928.2,1648.55,
50000000,0.93,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,
