num_keys,load_factor,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.8,1005.37,1301.77,1114.9,1089.96,1051.06,1420.03,1098.67,1067.34,1194.34,1772.07,1211.48,1080.5,1437.18,2272.47,1448.5,1133.33,
6000000,0.8,1111.11,1606.98,1197.19,1178.1,1262.56,1821.47,1224.71,1186.82,1505.03,2209.65,1412.56,1193.25,1720.1,2683.14,1612.35,1193.02,
11000000,0.8,1164.86,2095.89,1266.07,1253.32,1294.42,2397.79,1294.93,1254.4,1505.48,2918.55,1495.83,1252.73,1660.68,3346.18,1656.86,1249.45,
16000000,0.8,1210.58,2274.14,1357.3,1325.65,1321.99,2555.63,1364.79,1339.64,1487.98,3011.6,1503.81,1351.54,1643.68,3526.48,1675.56,1348.33,
21000000,0.8,1213.85,2129.08,1445.96,1393.89,1334.18,2434.73,1469.6,1399.16,1510.39,2927.34,1625.23,1411.88,1658.32,3384.18,1797.42,1411.5,
26000000,0.8,1241.29,2018.65,1453.02,1430.54,1353.53,2291.34,1467.68,1464.29,1523.29,2721.68,1606.69,1479.52,1688.54,3170.24,1789.23,1484.77,
31000000,0.8,1207.25,1916.02,1473.7,1456.99,1333.61,2186.73,1497.66,1466.49,1520.98,2627.46,1666.79,1476.7,1691.7,3063.9,1858.53,1479.9,
36000000,0.8,1198.86,1861.85,1473.16,1446.77,1321.58,2109.37,1495.04,1461.2,1496.9,2501.86,1647.49,1484.25,1676.38,2928.01,1854.68,1491,
41000000,0.8,1175.76,1814.22,1467.37,1445.84,1297.33,2065.45,1496.8,1460.58,1484.43,2471.22,1646.93,1476.64,1662.6,2887.59,1878.55,1477.02,
46000000,0.8,1185.05,1782.81,1466.59,1429.11,1310.63,2018.85,1489.18,1459.37,1493.85,2394.25,1643.63,1476.42,1686.11,2801.07,1852.32,1491.94,
51000000,0.8,1170.16,1754.81,1466.74,1449.84,1290.16,1996.42,1485.31,1465.11,1481.6,2382.93,1668.17,1474.73,1672.2,2788.01,1876.38,1480.38,
56000000,0.8,1159.11,1732.67,1458.29,1433.93,1283.54,1963.01,1477.61,1454.12,1461.09,2326.5,1643.11,1473.17,1656.04,2723.22,1852.92,1486.74,
61000000,0.8,1165.75,1715.88,1462.18,1439.23,1295.52,1950.11,1482.65,1458.12,1490.21,2326.67,1657.62,1474.63,1684.56,2723.25,1861.24,1481.46,
66000000,0.8,1162.18,1699.24,1464.83,1435.99,1287,1924.35,1485.78,1457.22,1475.55,2281.36,1648.54,1482.68,1668.67,2670.78,1856.78,1495.3,
71000000,0.8,1156.27,1688.33,1465.78,1441.23,1285.29,1917.06,1486.27,1459.88,1480.23,2285.23,1656.75,1480.53,1673.01,2675.11,1861.95,1489.75,
76000000,0.8,1151.14,1675.12,1454.74,1425.24,1275.96,1897.82,1473.97,1449.14,1464.57,2249.19,1636.46,1474.09,1657.08,2635.68,1843.29,1486.35,
81000000,0.8,1148.44,1668.33,1456.17,1434.39,1276.39,1893.94,1477.19,1452.67,1468.45,2254.94,1645.86,1473.19,1662.91,2642.67,1850.53,1482.55,
86000000,0.8,1143.11,1657.75,1446.46,1417.25,1268.03,1877.01,1467.51,1438.69,1453.71,2225.65,1627.63,1466.59,1644.69,2609.44,1832.97,1481.01,
91000000,0.8,1138.23,1652.58,1449.94,1426.18,1268.81,1876.49,1471.96,1445.62,1456.27,2233.1,1637.25,1467.04,1648.53,2617.96,1839.94,1478.2,
96000000,0.8,1133.23,1644.48,1443,1413.26,1255.28,1861.19,1463.17,1436.3,1444.01,2207.02,1621.2,1461.99,1629.95,2586.64,1825.21,1475.31,
