num_keys,load_factor,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,2576.95,4311.83,3684.75,3278.76,
6000000,0.8,2758.29,4264.3,3637.14,3242.13,
11000000,0.8,2126.78,3700.97,3190.75,2758.36,
16000000,0.8,1575.61,3039.68,2574.21,2240.65,
21000000,0.8,1398.54,2783.08,2343.21,2027.49,
26000000,0.8,1292.48,2599.34,2174.39,1871.82,
31000000,0.8,1228.93,2486.86,2071.17,1777.17,
36000000,0.8,1188.3,2407.93,1998.72,1712.21,
41000000,0.8,1160.21,2355.01,1949.05,1666.87,
46000000,0.8,1138.35,2314.4,1911.48,1633.11,
51000000,0.8,1122.44,2280.89,1881.09,1605.65,
56000000,0.8,1109.63,2254.73,1858.23,1584.23,
61000000,0.8,1100.18,2233.89,1839.16,1566.95,
66000000,0.8,1091.14,2216.9,1823.07,1551.96,
71000000,0.8,1078.35,2200.04,1809.26,1539.07,
76000000,0.8,1078.7,2190.11,1797.44,1529.52,
81000000,0.8,1073.12,2178.28,1788.01,1520.92,
86000000,0.8,1069.81,2169.13,1778.8,1512.04,
91000000,0.8,1063.9,2159.6,1770.9,1505.92,
96000000,0.8,1060.42,2153.44,1764.33,1499.24,
