num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,1.5294,1.51272,1.73899,2.1716,1.02542,1.02277,1.07825,1.13834,1.00683,1.00404,1.0211,1.03823,1.00341,1.00029,1.00246,1.0046,
20000000,0.65,1.62064,1.59295,1.85412,2.34301,1.03731,1.03444,1.11711,1.20557,1.01085,1.00785,1.03981,1.07137,1.00428,1.00091,1.00727,1.01349,
20000000,0.7,1.73131,1.68538,1.9837,2.52903,1.05363,1.05057,1.16992,1.29647,1.01745,1.01423,1.07036,1.12484,1.00609,1.00246,1.01859,1.03417,
20000000,0.75,1.86993,1.79301,2.13047,2.73075,1.07617,1.07287,1.24093,1.41792,1.02783,1.02441,1.11818,1.208,1.00973,1.00583,1.04192,1.07624,
20000000,0.8,2.05304,1.92054,2.3001,2.94876,1.1076,1.10399,1.33595,1.57938,1.04407,1.04045,1.19146,1.33447,1.0167,1.01256,1.08653,1.1558,
20000000,0.82,2.14574,1.97874,2.37604,3.04068,1.12381,1.11998,1.38227,1.65739,1.05292,1.04919,1.23026,1.40124,1.02095,1.01671,1.11319,1.20303,
20000000,0.84,2.25387,2.0412,2.45742,3.13556,1.14275,1.1386,1.43432,1.74471,1.0636,1.05975,1.27608,1.4801,1.02639,1.02205,1.14719,1.26322,
20000000,0.86,2.38347,2.10866,2.54542,3.23296,1.16497,1.16029,1.49272,1.84205,1.07674,1.07272,1.33012,1.5727,1.03339,1.02894,1.19025,1.33918,
20000000,0.88,2.54402,2.18162,2.64136,3.33354,1.19194,1.18633,1.55891,1.95132,1.09289,1.08855,1.39378,1.68175,1.04242,1.03782,1.24419,1.43431,
20000000,0.9,2.752,2.26019,2.74654,3.43688,1.22536,1.21808,1.63406,2.07353,1.11312,1.10817,1.46882,1.8102,1.05441,1.04958,1.31299,1.55524,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,1.2453,1.23667,1.67563,2.14031,1.12548,1.12003,1.51176,1.88346,1.06179,1.05674,1.35354,1.62675,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,1.26802,1.25756,1.72027,2.21109,1.13966,1.13348,1.55846,1.96296,1.0706,1.0652,1.39972,1.70794,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,1.29457,1.28149,1.76843,2.28609,1.15621,1.14892,1.60926,2.04913,1.0809,1.07498,1.4516,1.79905,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,1.32586,1.30897,1.82075,2.36616,1.17598,1.16704,1.66573,2.14435,1.0934,1.08661,1.5105,1.90261,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,1.36401,1.3415,1.87829,2.45154,1.1999,1.18845,1.72778,2.24835,1.10876,1.1005,1.57749,2.02039,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,1.41176,1.38054,1.94208,2.54278,1.2306,1.21506,1.79752,2.36324,1.12884,1.11804,1.65498,2.15577,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,1.47567,1.42998,2.01489,2.64088,1.27087,1.24862,1.87674,2.4911,1.15571,1.14052,1.74478,2.31162,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,1.56923,1.49711,2.10167,2.74748,1.32994,1.29537,1.96928,2.63398,1.19508,1.17198,1.8511,2.49223,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,1.43345,1.37224,2.08624,2.79761,1.26407,1.22517,1.98671,2.71075,
