num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,2.00824,1.32677,1.67122,2,2.00853,1.33501,1.67158,2,
20000000,0.65,2.00891,1.32806,1.67132,2,2.00925,1.33571,1.67166,2,
20000000,0.7,2.0096,1.32905,1.67134,2,2.00996,1.3362,1.67166,2,
20000000,0.75,2.01028,1.33005,1.67146,2,2.01065,1.3367,1.67164,2,
20000000,0.8,2.01095,1.33086,1.67145,2,2.01134,1.33705,1.67163,2,
20000000,0.82,2.01121,1.33108,1.67145,2,2.01162,1.33726,1.67165,2,
20000000,0.84,2.01149,1.3314,1.67149,2,2.0119,1.3374,1.67164,2,
20000000,0.86,-5e-08,-5e-08,-5e-08,-5e-08,2.01221,1.33752,1.67163,2,
20000000,0.88,-5e-08,-5e-08,-5e-08,-5e-08,2.01245,1.3377,1.67168,2,
20000000,0.9,-5e-08,-5e-08,-5e-08,-5e-08,2.01275,1.33777,1.67161,2,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,2.01289,1.33786,1.67165,2,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,2.01304,1.3379,1.67164,2,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
