num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,5042.92,14841.4,13304.7,10887,3731.48,7677.38,5847.68,4810.65,2875.12,4844.06,3867.57,3347.83,2342.44,4155.58,3721.66,3445.88,
6000000,0.8,3151.47,8011.18,6711,5295.41,4423.43,8386.11,6426.16,5194.94,3328.27,5319.45,4291.32,3649.79,2963.22,5272.54,4796.87,4436.57,
11000000,0.8,2488.07,6660.17,5574.28,4370.12,4866.22,10480.2,8212.05,6687.12,4315.86,7103.68,5770.41,4919.71,3508.98,5847.04,5380.78,5026.29,
16000000,0.8,2290.76,6250.5,5229.6,4093.1,4810.89,10400.7,8339.12,6947.22,4839.8,8169.08,6738.11,5796.48,3344.74,5444.25,5037.4,4710.87,
21000000,0.8,2249.17,6151.48,5152.07,4034.67,5020.1,10916,8921.87,7500.2,4705.26,8012.12,6641.99,5731.64,3337.44,5307.82,4910.99,4596.21,
26000000,0.8,2167.11,6016.45,5032.13,4004.83,4924.71,10776.1,8825.08,7423.29,4630.24,7947.73,6622.83,5730.09,3260.43,5170.78,4790.86,4485.34,
31000000,0.8,2269.89,6151.26,5162.5,4068.57,4847.77,10655.2,8736.67,7359,4585.95,7905.32,6586.62,5697.46,3211.7,5085.41,4717.62,4419.29,
36000000,0.8,2391.97,6528.43,5504.52,4338.78,4822.01,10604.6,8703.55,7336.6,4534.83,7835.13,6545.32,5670.64,3197.02,5041.41,4676.65,4381.33,
41000000,0.8,2379.66,6409.22,5464.82,4307.41,4778.32,10539.4,8657.84,7300.54,4495.63,7775.63,6505.13,5644.07,3193.51,5012.46,4658.3,4366.69,
46000000,0.8,2315.15,6225.06,5234.61,4170.98,4747.08,10486,8621.91,7272.56,4468.19,7763.35,6510.51,5637.36,3151.76,4965.72,4611.16,4317.5,
51000000,0.8,2357.22,6326.41,5410.96,4262.89,4720,10449.1,8595.76,7247.27,4437.69,7720.7,6488.11,5615.28,3136.98,4941.48,4590.51,4299.96,
56000000,0.8,2401.31,6398.52,5392.5,4263.4,4708.17,10427.2,8583.41,7245.1,4425.06,7713.87,6498.66,5631.91,3129.15,4926.85,4576.51,4286.43,
61000000,0.8,2395.31,6496.36,5589.26,4414.97,4692.28,10402.4,8567.94,7228.88,4410.09,7693.34,6474.05,5600.82,3113.95,4906.9,4561.73,4273.46,
66000000,0.8,2366.89,6521.55,5486.54,4315.03,4666.12,10369.4,8538.76,7202.59,4413.82,7713.3,6499.19,5636.87,3086.79,4881.3,4534.96,4244.5,
71000000,0.8,2439.77,6468.81,5457.67,4337.91,4671.71,10372.6,8547.54,7208.83,4388.5,7669.82,6449.91,5579.82,3104.52,4884.15,4539.56,4248.45,
76000000,0.8,2431.87,6458.3,5553.43,4388.34,4652.02,10349.4,8526.58,7191.18,4372.41,7662.08,6436.85,5572.94,3102.48,4876.49,4532.05,4239.62,
81000000,0.8,2377.6,6362.74,5361.07,4233.81,4651.52,10343.5,8533.07,7198.51,4365.09,7651.61,6429.3,5560.08,3106.11,4873.07,4527.51,4233.31,
86000000,0.8,2382.66,6444.13,5434.54,4285.03,4640.29,10332.6,8520.97,7187.86,4353.17,7650.45,6439.38,5546.6,3090.14,4858.63,4513.01,4224.25,
91000000,0.8,2373.63,6386.43,5428,4279.35,4632.37,10320.8,8514.3,7180.9,4347.49,7640.74,6424.61,5541.07,3103.64,4865.38,4517.19,4225.41,
96000000,0.8,2415,6429.47,5422.65,4275.2,4627.93,10317.5,8512.43,7179.18,4347.8,7651.62,6440.29,5545.76,3095.19,4858.04,4508.14,4217.98,
