num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2410.76,3771.97,3196.6,3051.76,2604.43,4264.46,3195.56,3063.24,2823.63,4912.29,3346.68,2981.87,3100.97,5788.75,3727.34,2980.05,
6000000,0.9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2041.34,3220.5,2722,2592.76,2230.95,3677.97,2731.01,2607.99,2502.41,4438.92,2946.93,2620.12,2808.51,5396.37,3337.15,2639.83,
11000000,0.9,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1761.05,2747.92,2323.29,2217.22,1943.33,3177.69,2339.28,2232.84,2186.79,3842.67,2518.51,2234.32,2454.78,4686,2841.17,2234.65,
16000000,0.9,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1696.62,2586.66,2170.86,2067.4,1860.66,2965.29,2169.84,2067.26,2134.87,3617.9,2347.12,2073.96,2394.64,4418.96,2646.6,2068.88,
21000000,0.9,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,1656.24,2485.55,2082.12,1980.38,1822.05,2849.57,2076.49,1976.83,2070.24,3468.43,2240.02,1976.24,2346.14,4256.06,2534.18,1974.91,
26000000,0.9,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,1617.7,2419.65,2022.9,1921.93,1780.45,2776.36,2021.02,1919.46,2056.93,3393.33,2184.87,1923.63,2345.17,4175.06,2474.14,1922.06,
31000000,0.9,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,1593.2,2376.03,1983.76,1881.46,1766.65,2736.33,1986.37,1883.53,2031.79,3337.42,2144.71,1884.56,2324.05,4107.6,2428.68,1884.52,
36000000,0.9,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,1583.03,2348.12,1957.87,1855.38,1751.63,2701.89,1958.19,1855.39,2016.06,3295.39,2113.25,1856.98,2313.86,4053.57,2395.22,1857.07,
41000000,0.9,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,1568.92,2325.18,1935.1,1832.98,1739.95,2677.54,1936.81,1833.85,2006.13,3265.11,2091.13,1834.51,2308.42,4029.37,2372.28,1836.54,
46000000,0.9,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1557.11,2306.69,1919.08,1817.11,1730.48,2658.32,1920.53,1817.35,1992.43,3242.19,2073.36,1818.42,2296.83,4002.77,2353.22,1819.63,
51000000,0.9,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,1552.92,2293.53,1905.97,1803.54,1723.8,2640.84,1906.57,1804.97,1986.37,3223.81,2059.61,1805.25,2288.76,3979.09,2337.12,1805.53,
56000000,0.9,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,1549.12,2282.11,1893.73,1793.73,1719.14,2629.16,1895.18,1793.66,1982.64,3209.98,2047.55,1794.62,2282.29,3963.41,2324.73,1794.92,
61000000,0.9,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,1542.72,2271.66,1883.94,1783.73,1715.24,2619.21,1886.81,1786.46,1981.71,3199.97,2038.23,1785,2290.16,3953.82,2314.67,1786.43,
66000000,0.9,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,1541.41,2264.61,1876.85,1777.96,1713.05,2610.51,1877.97,1777.37,1971.64,3186.8,2029.62,1778.33,2280.3,3937.68,2304.03,1778.73,
71000000,0.9,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,1536.9,2257.34,1869.07,1769.96,1706.22,2600.73,1870.94,1771.58,1968.66,3177.57,2021.57,1770.91,2274.18,3926.38,2295.77,1771.93,
76000000,0.9,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,1535.52,2249.69,1862.63,1765.37,1702.91,2593.92,1863.76,1763.66,1964.32,3168.46,2014.9,1764.43,2272.52,3916.87,2287.43,1765.5,
81000000,0.9,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,1531.96,2244.68,1857.62,1760.44,1703.11,2588.1,1859.34,1760.72,1964.12,3162.39,2009.41,1760.25,2271.72,3912.16,2281.73,1761.17,
86000000,0.9,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,1535.78,2240.81,1853.89,1757.02,1705.58,2583.74,1856.07,1758.38,1979.3,3160.21,2005.28,1758.63,2286.95,3909.3,2277.97,1758.62,
91000000,0.9,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,1529.23,2233.08,1846.36,1750.68,1694.8,2576.71,1848.92,1748.69,1959.18,3150.79,1998.29,1751.99,2271.04,3898.56,2268.68,1750.1,
96000000,0.9,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,1527.55,2229.47,1844.12,1748.22,1700.89,2572.04,1844.69,1747.53,1959.19,3144.22,1994.66,1747.94,2274.34,3893.94,2264.91,1749.12,
