num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,-1,-1,-1,-1,2548.54,4934.63,4127.48,3591.62,
6000000,0.9,-6,-6,-6,-6,2675.05,5187.12,4392.66,3826.41,
11000000,0.9,-11,-11,-11,-11,2299.83,4459.37,3756.27,3254.42,
16000000,0.9,-16,-16,-16,-16,2190.02,4203.89,3514.63,3028.98,
21000000,0.9,-21,-21,-21,-21,2119.32,4057.9,3378.66,2901.13,
26000000,0.9,-26,-26,-26,-26,2077.69,3970.76,3295.86,2823.35,
31000000,0.9,-31,-31,-31,-31,2050.73,3916.26,3242.83,2771.02,
36000000,0.9,-36,-36,-36,-36,2036.93,3884.37,3208.36,2735.75,
41000000,0.9,-41,-41,-41,-41,2004.13,3836.48,3167.92,2699.36,
46000000,0.9,-46,-46,-46,-46,1994.63,3818.52,3147.51,2677.22,
51000000,0.9,-51,-51,-51,-51,1986.52,3801.94,3129.46,2659.21,
56000000,0.9,-56,-56,-56,-56,1977.91,3787.01,3112.6,2643.19,
61000000,0.9,-61,-61,-61,-61,1974.06,3773,3101.81,2632.48,
66000000,0.9,-66,-66,-66,-66,1969.02,3765.93,3088.6,2620.82,
71000000,0.9,-71,-71,-71,-71,1963.26,3754.97,3076.99,2609.57,
76000000,0.9,-76,-76,-76,-76,1957.35,3746.28,3068.12,2601.55,
81000000,0.9,-81,-81,-81,-81,1957.87,3740.22,3060.91,2595.72,
86000000,0.9,-86,-86,-86,-86,1957.44,3734.73,3055.07,2591.37,
91000000,0.9,-91,-91,-91,-91,1949.64,3727.23,3044.29,2582.72,
96000000,0.9,-96,-96,-96,-96,1947.37,3723.77,3040.71,2579.14,
