num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,1.52938,1.51267,1.73894,2.17175,1.02424,1.02271,1.07822,1.13826,1.00572,1.00407,1.02126,1.03854,1.00202,1.00029,1.0025,1.00468,
20000000,0.65,1.62074,1.59295,1.85389,2.34281,1.03613,1.0345,1.11715,1.20545,1.00962,1.00787,1.03979,1.07138,1.00274,1.00089,1.00717,1.01329,
20000000,0.7,1.73124,1.68505,1.98345,2.52891,1.05238,1.05064,1.17011,1.2967,1.01615,1.01427,1.07037,1.1249,1.0045,1.0025,1.01883,1.03462,
20000000,0.75,1.86972,1.79252,2.13027,2.73082,1.07465,1.07282,1.24097,1.41798,1.02635,1.02438,1.11815,1.20796,1.00794,1.00581,1.04194,1.07628,
20000000,0.8,2.05344,1.92045,2.29997,2.94844,1.10591,1.1039,1.336,1.57915,1.04261,1.04054,1.19171,1.33469,1.01478,1.01252,1.08632,1.15554,
20000000,0.82,2.14553,1.97831,2.37556,3.04084,1.12213,1.11994,1.38177,1.65654,1.05121,1.04909,1.23007,1.40102,1.0191,1.01678,1.1136,1.2037,
20000000,0.84,2.25368,2.04058,2.45735,3.13598,1.14115,1.13868,1.43406,1.74426,1.06201,1.05982,1.27592,1.47992,1.02443,1.02204,1.14667,1.26218,
20000000,0.86,2.38464,2.10851,2.54513,3.2326,1.16346,1.1605,1.49306,1.84256,1.07502,1.07269,1.32989,1.57221,1.03144,1.02899,1.19002,1.33866,
20000000,0.88,2.54405,2.18095,2.64063,3.33325,1.19041,1.18655,1.5596,1.952,1.0909,1.08831,1.39323,1.68127,1.04029,1.03775,1.24422,1.43456,
20000000,0.9,2.75321,2.25999,2.74634,3.43682,1.22337,1.21792,1.63375,2.07306,1.11137,1.10823,1.4684,1.80953,1.05227,1.04953,1.31274,1.55499,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,1.24347,1.23672,1.67603,2.14098,1.12353,1.11994,1.51148,1.88319,1.05961,1.05669,1.35331,1.6263,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,1.26581,1.25727,1.72018,2.21129,1.13776,1.13344,1.55861,1.96323,1.06815,1.06492,1.39979,1.70824,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,1.29258,1.28145,1.76832,2.28598,1.15425,1.14884,1.60905,2.0486,1.07879,1.07503,1.45108,1.79754,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,1.32381,1.30887,1.82063,2.36609,1.1742,1.16713,1.66616,2.1454,1.09153,1.08689,1.51062,1.90266,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,1.36198,1.34152,1.87787,2.45089,1.19801,1.18842,1.72788,2.24852,1.10644,1.1004,1.57803,2.0215,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,1.40997,1.3807,1.9419,2.54223,1.22889,1.21525,1.79719,2.36239,1.12672,1.11813,1.65529,2.15643,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,1.47341,1.42986,2.0146,2.6405,1.26914,1.24877,1.87727,2.49178,1.15375,1.14075,1.74518,2.31234,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,1.56742,1.49718,2.1014,2.74694,1.32767,1.29516,1.96913,2.63385,1.19275,1.17199,1.85132,2.49273,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,1.43189,1.37243,2.08653,2.79806,1.26222,1.22543,1.98678,2.71055,
