num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,2.00641,1.32665,1.67113,2,2.00643,1.33506,1.67162,2,
20000000,0.65,2.00695,1.32813,1.67134,2,2.00696,1.33564,1.67157,2,
20000000,0.7,2.00743,1.32905,1.67142,2,2.00748,1.33623,1.6717,2,
20000000,0.75,2.00797,1.33004,1.6714,2,2.00799,1.33674,1.67163,2,
20000000,0.8,2.00851,1.33078,1.67148,2,2.00855,1.33709,1.67159,2,
20000000,0.82,2.00873,1.33103,1.67133,2,2.00871,1.33727,1.67169,2,
20000000,0.84,2.00891,1.33132,1.67148,2,2.00897,1.33739,1.67168,2,
20000000,0.86,-5e-08,-5e-08,-5e-08,-5e-08,2.00919,1.33759,1.67168,2,
20000000,0.88,-5e-08,-5e-08,-5e-08,-5e-08,2.00941,1.33791,1.67173,2,
20000000,0.9,-5e-08,-5e-08,-5e-08,-5e-08,2.0096,1.33787,1.67171,2,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,2.0097,1.33795,1.67172,2,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,2.00982,1.33764,1.67146,2,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
