num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
50000000,0.6,1033.79,1986.31,1513.04,1432.07,1163.02,2522.6,1630.65,1432.13,1322.28,3368.91,1915.88,1431.98,1413.94,3893.6,2072.35,1432.12,754.831,1100.88,846.478,800.823,904.309,1407.41,902.539,800.82,1150.96,2031.32,1112.97,800.843,1226.73,2266,1179.82,800.738,
50000000,0.65,1024.36,1952.14,1514.37,1433.83,1140.37,2418.45,1595.36,1433.86,1287.95,3165.64,1851.38,1433.78,1399.7,3811.54,2050.05,1433.7,745.288,1082.33,846.924,801.144,877.372,1348.67,882.285,801.187,1105.22,1893.58,1070.53,801.138,1219.33,2239.77,1173.13,801.14,
50000000,0.7,1016.71,1924.57,1515.11,1435.3,1122.17,2335.99,1569.13,1435.24,1255.92,2982.56,1789.29,1435.31,1381.3,3700.89,2018.77,1435.26,737.437,1067.26,847.294,801.669,855.352,1302.87,867.786,801.648,1055.17,1762.88,1028.13,801.636,1205.16,2194.66,1160.95,801.657,
50000000,0.75,1010.74,1901.57,1517.36,1437.1,1106.94,2269.63,1550.85,1437.25,1227.3,2828.11,1736.2,1437.21,1357.87,3564.14,1978.91,1437.14,731.024,1054.92,847.915,802.012,837.967,1265.66,857.989,802.059,1013.77,1659.24,992.36,802.037,1184.72,2127.52,1142.08,802.037,
50000000,0.8,1005.98,1881.76,1519,1438.92,1094.36,2215.34,1539.22,1438.92,1203.91,2703.82,1692.19,1438.91,1331.79,3404.03,1930.3,1438.97,725.353,1044.24,848.615,802.67,823.089,1234.66,852.738,802.583,979.539,1577.38,963.417,802.653,1154.13,2030.93,1114.04,802.561,
50000000,0.82,1004.18,1875.17,1519.71,1439.52,1089.97,2196.27,1535.71,1439.39,1195.1,2660.77,1677.05,1439.56,1320.67,3337.64,1909.19,1439.53,723.449,1040.16,848.597,802.654,817.761,1224.04,851.386,802.696,967.555,1548.74,952.99,802.683,1140.08,1987.09,1100.62,802.754,
50000000,0.84,-50,-50,-50,-50,-50,-50,-50,-50,1187.43,2621.41,1663.54,1440.26,-50,-50,-50,-50,721.345,1036.66,848.752,802.899,812.77,1214.25,850.698,802.928,955.877,1522.59,943.436,802.947,1123.86,1941.22,1086.52,802.925,
50000000,0.86,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,719.529,1033.2,848.988,803.049,808.082,1204.36,850.246,803.189,945.753,1499.02,934.816,803.09,1106.82,1894.92,1072.35,803.202,
50000000,0.88,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,717.776,1029.73,849.16,803.317,803.831,1195.72,850.084,803.461,935.683,1476.57,926.667,803.257,1091.69,1852.53,1058.68,803.495,
50000000,0.9,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,716.113,1026.96,849.413,803.504,799.594,1187.27,849.951,803.657,926.922,1456.75,919.209,803.498,1075.59,1811.18,1045.15,803.624,
50000000,0.91,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,715.484,1025.44,849.448,803.532,797.39,1183.33,850.099,803.722,922.772,1446.99,915.578,803.571,1067.66,1791.75,1038.92,803.717,
50000000,0.92,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,715.273,1023.88,849.636,803.673,795.633,1179.19,849.908,803.75,918.988,1437.74,912.47,803.68,1060.6,1773.22,1032.59,803.744,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
