num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
50000000,0.6,1051.48,3081.68,2497.08,2114.54,857.491,1733.84,1404.24,1184.78,
50000000,0.65,1052.69,3081.89,2499.37,2117.07,858.451,1734.06,1405.24,1185.5,
50000000,0.7,1053.4,3082.3,2501.88,2119.71,859.115,1733.97,1406.14,1186.15,
50000000,0.75,1054.47,3083.26,2504.58,2121.81,859.963,1734.42,1406.61,1186.82,
50000000,0.8,1055.51,3084.19,2507.23,2124.33,860.783,1734.7,1407.47,1187.6,
50000000,0.82,1055.96,3084.79,2508.2,2125.44,861.153,1735.01,1407.77,1187.84,
50000000,0.84,1057.73,3085.45,2509.28,2126.57,861.272,1734.99,1408.06,1188.04,
50000000,0.86,-50,-50,-50,-50,861.776,1735.68,1408.33,1188.32,
50000000,0.88,-50,-50,-50,-50,861.873,1735.57,1408.66,1188.6,
50000000,0.9,-50,-50,-50,-50,862.006,1735.81,1409.11,1188.97,
50000000,0.91,-50,-50,-50,-50,862.538,1735.81,1409.35,1189.22,
50000000,0.92,-50,-50,-50,-50,862.546,1735.98,1409.31,1189.14,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,
