num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,1081.58,5358.09,4567.98,3786.87,2005.97,6440.38,4925.6,4054.7,2179.61,5623.34,4067.26,3322.06,1934.17,3788.25,3047.26,2644.79,
6000000,0.9,607.825,2149.29,1782.31,1435.99,1293.56,3808.27,2898.94,2315.55,1423.3,4069.13,3103.72,2541.54,1312.21,2353.66,1899.57,1616,
11000000,0.9,580.409,2009.72,1665.29,1340.58,1240.67,3579.01,2716.77,2166.99,1361.16,3876.22,2955.02,2417.3,1244.93,2268.59,1829.67,1555.03,
16000000,0.9,570.64,1963.97,1626.37,1308.1,1220.11,3500.82,2657.14,2118.52,1337.84,3796.28,2895.27,2367.45,1220.14,2237.21,1804.69,1534.05,
21000000,0.9,565.997,1940.59,1607.38,1292.41,1210.12,3462.89,2626.79,2093.19,1326.36,3753.9,2863.57,2341.66,1207.13,2220.61,1791.84,1522.75,
26000000,0.9,562.746,1927.7,1596.15,1282.92,1203.7,3438.22,2609.25,2079.06,1319.54,3727.57,2843.22,2325.25,1199.1,2210.92,1783.97,1515.58,
31000000,0.9,560.965,1919.43,1588.59,1276.49,1200.28,3424.76,2598.41,2070,1314.72,3710.72,2830.86,2314.61,1194.59,2205.02,1779.25,1512.09,
36000000,0.9,560.008,1912.65,1583.45,1272.27,1196.9,3413.55,2589.18,2062.69,1311.12,3697.36,2821.06,2306.13,1190.77,2200.22,1775.81,1509,
41000000,0.9,558.935,1907.9,1579.78,1269.06,1194.78,3405.35,2582.92,2057.44,1309.2,3687.18,2813.46,2299.91,1188.2,2196.26,1773.49,1507.2,
46000000,0.9,558.404,1905.53,1576.89,1266.66,1192.89,3399.37,2578.56,2053.98,1306.74,3678.66,2808.21,2296.06,1186.2,2193.53,1771.43,1505.47,
51000000,0.9,558.232,1902.15,1574.67,1264.67,1191.91,3394.96,2575.33,2051.05,1305,3673.89,2804.13,2292.34,1184.3,2191.82,1769.72,1504.02,
56000000,0.9,557.853,1900.24,1572.85,1263.03,1191.47,3391.73,2572.09,2048.67,1304.02,3669.37,2800.85,2289.61,1182.62,2189.92,1768.69,1503.26,
61000000,0.9,558.01,1898.7,1571.54,1261.79,1190.05,3388.62,2570,2046.9,1302.97,3665.25,2798.66,2288.15,1181.72,2189.07,1768.21,1502.92,
66000000,0.9,557.72,1897.23,1570.39,1260.89,1189.2,3385.79,2568.41,2045.46,1301.86,3660.92,2795.94,2285.85,1180.57,2187.49,1767.54,1502.57,
71000000,0.9,557.832,1896.21,1569.38,1260.09,1189.45,3383.26,2566.24,2044.06,1301.34,3658.48,2793.98,2284.38,1179.94,2186.74,1766.71,1501.99,
76000000,0.9,557.526,1895.4,1568.73,1259.45,1188.31,3382.13,2565.47,2043.07,1300.7,3655.64,2792.39,2283.14,1179.47,2185.74,1766.48,1501.62,
81000000,0.9,557.702,1894.21,1567.93,1258.68,1188,3380.51,2564.56,2042.7,1300.34,3654.18,2791.35,2282.33,1178.46,2184.74,1765.94,1501.4,
86000000,0.9,557.786,1894.1,1567.64,1258.12,1187.98,3379.28,2563.36,2041.73,1300.06,3652.54,2790.32,2281.41,1177.94,2184.42,1765.73,1501.43,
91000000,0.9,558.075,1893.16,1567.24,1257.7,1187.69,3378.65,2563.05,2041.16,1299.89,3650.38,2789.37,2280.81,1177.58,2184.02,1765.68,1501.23,
96000000,0.9,557.942,1892.92,1566.65,1257.39,1187.36,3378.17,2562.5,2040.83,1299.34,3650.28,2788.79,2280.48,1176.92,2183.43,1765.32,1501.33,
