num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.8,1790.94,3084.65,2641.88,2555.4,1962.02,3541.92,2666.7,2553.21,2157,4174.57,2858.19,2558.83,2375.43,5003.2,3208.48,2557.03,1196.08,1732.42,1438.64,1375.63,1357.82,2019.4,1446.85,1376.11,1613.39,2533.17,1610.62,1375.84,1910.74,3187.51,1843.92,1374.99,
6000000,0.8,1101.12,2102.37,1715.14,1631.81,1196.84,2464.48,1734.98,1631.18,1318.03,2989.8,1900.77,1631.59,1453.85,3732.58,2161.76,1631.23,782.062,1114.34,908.113,859.839,891.313,1316.92,912.292,859.797,1067.79,1679.74,1029.26,859.917,1268.02,2157.71,1190.31,859.767,
11000000,0.8,1051.29,1993.02,1618.13,1535.9,1143.58,2340.71,1636.87,1534.92,1257.67,2847.41,1797.76,1535.85,1388.42,3569.09,2047.74,1535.05,751.961,1077.15,876.428,829.054,855.734,1273.71,881.104,829.947,1021.1,1624.77,994.331,829.174,1209.97,2092.12,1150.71,829.901,
16000000,0.8,1033.37,1948.26,1578.62,1496.52,1123.84,2290.12,1597.88,1496.51,1235.52,2790.31,1755.26,1496.53,1366.36,3503.32,2000.22,1496.43,741.118,1063.64,865.082,818.552,842.194,1257.24,869.175,818.199,1003.62,1604.97,981.687,818.55,1186.13,2065.73,1135.24,818.219,
21000000,0.8,1024.02,1924.88,1557.49,1476.08,1113.04,2263.94,1577.06,1475.99,1225.07,2759.99,1733.65,1476.08,1353.14,3467.89,1975.42,1475.81,735.354,1056.08,858.635,812.55,835.644,1249.35,863.376,812.604,995.297,1595.06,974.76,812.562,1174.89,2053.06,1127.6,812.627,
26000000,0.8,1017.38,1910.01,1544.09,1463.69,1107.59,2248.65,1564.22,1463.72,1217.25,2740.69,1719.27,1463.47,1346.11,3447.25,1959.69,1463.73,732.382,1052.15,855.238,809.177,831.153,1244.26,859.596,809.189,990.864,1588.55,970.624,809.117,1168.02,2045.84,1122.98,809.122,
31000000,0.8,1013.26,1901.95,1536.45,1455.63,1102.59,2236.93,1556.4,1455.56,1212.91,2728.68,1710.79,1455.51,1341.01,3432.28,1950.02,1455.63,729.904,1049.73,853.266,807.31,828.27,1241.27,857.542,807.209,986.014,1585.3,968.612,807.259,1162.73,2040.46,1120.17,807.157,
36000000,0.8,1010.12,1894.13,1530.14,1449.32,1099.72,2228.63,1549.89,1449.76,1209.57,2718.8,1703.74,1449.11,1338.1,3420.82,1942.69,1449.53,728.239,1047.46,851.515,805.453,827.042,1239.45,856.035,805.732,984.059,1581.92,966.6,805.473,1160.19,2038.1,1118.3,805.668,
41000000,0.8,1008.39,1888.6,1525.06,1444.58,1097.43,2222.82,1544.7,1444.43,1207.56,2712.53,1698.88,1444.51,1334.9,3412.93,1936.58,1444.53,726.673,1045.82,850.114,803.956,825.026,1237.16,854.402,804.078,981.469,1579.42,964.87,804.047,1157.36,2034.28,1116.28,804.069,
46000000,0.8,1007.69,1884,1521.25,1441.09,1096.1,2217.96,1541.16,1440.77,1205.35,2707.07,1694.72,1441.08,1332.95,3406.32,1932.25,1440.71,725.903,1044.75,848.975,803.078,823.775,1235.77,853.407,803.235,980.214,1577.81,963.866,803.061,1155.57,2032.59,1115.12,803.195,
51000000,0.8,1005.42,1880.77,1518.26,1437.86,1093.93,2213.75,1538.13,1438.1,1203.7,2702.32,1691.66,1437.83,1331.35,3402.96,1929.41,1438.28,725.031,1043.54,847.762,801.851,822.96,1234.06,852.23,802.11,978.689,1575.9,962.457,801.901,1154.45,2030.74,1113.78,802.131,
56000000,0.8,1004.38,1877.86,1515.83,1435.88,1092.84,2210.97,1535.52,1435.52,1202.32,2698.42,1688.84,1435.9,1330.02,3398.18,1926.22,1435.51,724.528,1042.52,847.125,801.397,822.043,1233.29,851.368,801.382,977.828,1574.67,961.772,801.394,1152.9,2029.67,1112.51,801.367,
61000000,0.8,1003.2,1876.34,1514.15,1434.18,1091.98,2208.65,1534.05,1433.92,1201.24,2697.01,1687.35,1434.12,1328.78,3395.17,1924.55,1433.97,724.143,1042.41,846.929,801.241,821.495,1233.28,851.517,801.389,977.048,1574.17,961.47,801.261,1151.73,2028.47,1112.65,801.464,
66000000,0.8,1002.52,1873.99,1512.58,1432.41,1091.13,2206.72,1532.6,1432.51,1200.15,2693.83,1685.46,1432.44,1328.22,3393,1922.86,1432.47,723.716,1041.74,846.503,800.837,820.787,1232.33,850.809,800.751,976.15,1573.61,961.132,800.8,1150.93,2027.44,1111.81,800.723,
71000000,0.8,1001.92,1872.33,1510.82,1430.97,1090.43,2204.16,1530.41,1430.66,1199.59,2691.13,1683.61,1430.91,1327.01,3389.84,1920.36,1430.65,723.184,1041.34,845.986,800.275,820.273,1231.68,850.397,800.327,975.893,1572.99,960.611,800.297,1149.92,2027.15,1111.51,800.392,
76000000,0.8,1001.3,1870.91,1509.44,1429.31,1089.57,2202.47,1529.22,1429.35,1199.15,2689.48,1681.98,1429.45,1326.47,3387.72,1918.9,1429.41,722.769,1041.02,845.69,799.883,819.81,1231.09,849.957,799.915,975.359,1572.36,960.121,799.9,1149.46,2026.45,1110.86,799.916,
81000000,0.8,1000.58,1869.3,1508.24,1428.53,1089.19,2200.95,1528.06,1428.27,1198.29,2687.34,1680.92,1428.45,1325.92,3386.4,1917.7,1428.4,722.451,1040.29,845.145,799.397,819.563,1230.53,849.433,799.38,975.203,1572.04,959.72,799.403,1148.88,2025.55,1110.35,799.382,
86000000,0.8,1000.2,1868.95,1507.47,1427.38,1088.71,2200.04,1527.33,1427.5,1197.71,2686.97,1680.08,1427.47,1325.12,3384.15,1916.75,1427.53,722.088,1040.18,845.216,799.623,819.395,1230.4,849.586,799.673,974.461,1571.37,959.766,799.623,1148.29,2025.07,1110.43,799.664,
