num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,1918.44,4566.31,4014.34,3619.08,1467.96,2718.05,2287.13,2002.82,
6000000,0.8,1155.43,3377.82,2786.65,2387.77,938.219,1839.65,1500.15,1270.14,
11000000,0.8,1103.95,3232.49,2649.47,2256.86,897.404,1783.86,1451.17,1226.6,
16000000,0.8,1084.67,3173.34,2592.84,2203.86,882.528,1763.46,1433.09,1210.29,
21000000,0.8,1074.63,3142.45,2562.29,2175.9,875.818,1753.25,1423.62,1201.96,
26000000,0.8,1068.09,3122.39,2543.4,2158.41,870.488,1747.17,1417.95,1197.06,
31000000,0.8,1064.94,3110.39,2532.17,2147.45,866.906,1743.2,1414.84,1194.25,
36000000,0.8,1060.97,3100.45,2522.41,2138.6,864.794,1740.22,1412.27,1191.88,
41000000,0.8,1058.77,3092.68,2515.41,2132.13,862.883,1737.71,1409.54,1189.42,
46000000,0.8,1056.85,3086.52,2509.77,2126.91,861.629,1736.01,1408.12,1188.1,
51000000,0.8,1055.53,3083.02,2506.21,2123.04,861.163,1734.29,1406.75,1186.97,
56000000,0.8,1054.18,3079.71,2502.39,2120.08,859.447,1733,1405.58,1185.81,
61000000,0.8,1053.44,3076.44,2499.53,2117.14,858.88,1732.43,1405.32,1185.68,
66000000,0.8,1052.38,3073.39,2496.88,2115.03,858.144,1731.66,1404.56,1184.91,
71000000,0.8,1051.33,3070.72,2494.66,2112.69,857.91,1730.57,1403.55,1184.09,
76000000,0.8,1051.05,3068.43,2492.84,2110.76,857.108,1730.2,1403.17,1183.53,
81000000,0.8,1050.39,3067.68,2491.52,2109.65,856.572,1729.39,1402.46,1182.91,
86000000,0.8,1049.9,3065.9,2490.03,2108.32,856.249,1729.32,1402.45,1183.2,
91000000,0.8,1049.53,3064.49,2488.7,2107.33,856.112,1728.84,1402.17,1182.79,
96000000,0.8,1049.12,3063.72,2487.5,2106.04,855.776,1728.41,1401.47,1182.2,
