num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
50000000,0.6,571.525,1067.46,808.204,763.353,640.314,1362.68,872.714,763.331,723.555,1831.17,1027.91,763.432,769.056,2118.14,1111.19,763.377,500.593,760.287,583.471,551.282,594.351,973.158,622.314,551.248,746.256,1407.2,767.978,551.536,792.76,1569.29,813.017,550.916,
50000000,0.65,563.481,1048.31,808.213,763.855,626.421,1304.27,852.818,763.808,705.287,1718.33,992.215,763.84,762.69,2072.52,1098.71,763.73,494.254,746.652,582.876,550.729,577.032,931.825,607.588,551.003,717.119,1309.36,737.097,550.43,787.934,1550.11,808.246,551.06,
50000000,0.7,557.869,1032.46,808.404,764.048,615.298,1258.07,838.112,764.022,687.649,1614.89,957.812,764.098,753.259,2011.97,1081.76,764.098,488.509,736.006,582.785,550.687,563.043,899.883,597.505,551.181,686.68,1219.05,708.067,551.017,779.497,1516.67,798.6,550.313,
50000000,0.75,554.644,1019.13,808.71,764.378,606.791,1220.41,827.259,764.331,672.342,1528.06,928.159,764.415,741.473,1934.67,1059.43,764.335,481.862,726.848,582.92,550.811,546.717,872.092,589.659,550.288,659.288,1145.2,682.803,550.782,767.761,1469.12,785.181,550.251,
50000000,0.8,552.239,1007.61,809.066,764.665,600.959,1189.72,820.038,764.619,661.354,1458.65,903.758,764.838,727.57,1845.59,1032.47,764.633,476.794,719.488,583.476,551.222,538.745,851.643,586.517,551.17,637.454,1089.01,663.068,551.536,748.385,1403.65,766.709,551.118,
50000000,0.82,552.289,1003.59,809.166,764.818,599.573,1178.92,818.017,764.97,654.214,1434.26,895.221,764.864,722.287,1808.02,1020.78,764.841,475.482,716.116,582.825,550.62,535.478,843.867,585.541,551.047,629.296,1068.68,655.42,551.005,739.236,1372.57,757.38,551.174,
50000000,0.84,551.234,999.679,809.309,764.986,595.337,1168.41,816.135,764.957,650.726,1411.67,887.214,764.916,-50,-50,-50,-50,473.524,713.629,582.989,550.696,531.521,837.04,584.944,551.327,623.038,1050.21,648.503,550.902,729.11,1339.88,747.27,550.987,
50000000,0.86,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,472.578,711.625,583.548,551.341,528.705,830.034,584.283,551.203,616.735,1034.3,643.014,551.399,718.371,1307.95,736.947,550.764,
50000000,0.88,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,471.516,708.988,583.243,550.954,525.791,823.271,583.68,550.866,610.65,1017.91,636.468,550.822,708.184,1278.53,727.972,551.41,
50000000,0.9,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,469.979,706.457,583.037,550.786,523.58,818.304,584.193,551.627,604.179,1003.82,631.45,551.003,698.15,1250.62,718.918,551.535,
50000000,0.91,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,470.18,705.754,583.452,551.037,521.565,815.396,584.275,551.754,601.539,997.831,629.552,551.47,693.389,1235.49,713.588,551.068,
50000000,0.92,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,468.336,705.077,583.687,551.55,520.463,811.486,583.257,550.801,598.071,990.985,626.959,551.447,688.326,1223.66,709.854,551.426,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
