num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,656.791,1713.34,1446.75,1147.79,860.441,2777.58,2278.74,1927.93,1017.45,2624.04,2249.56,1988.77,1111.19,1655.8,1543.77,1458.75,
6000000,0.8,507.041,1225.4,1032.82,813.283,685.779,2110.37,1750.42,1486.09,765.232,2192.39,1912.5,1711.19,809.552,1578.27,1473.61,1388.08,
11000000,0.8,506.381,1231.65,1035.3,812.992,668.708,2062.59,1714.87,1456.58,746.374,2151.22,1885.21,1687.21,786.933,1571.75,1469.17,1385.62,
16000000,0.8,490.802,1202.17,1009.51,792.03,666.605,2016.67,1677.14,1425.87,740.709,2122.38,1857.1,1661.27,788.79,1677.13,1564.95,1472.55,
21000000,0.8,488.526,1195.52,1004.15,788.075,663.966,2005.91,1671.14,1421.5,737.001,2113.94,1852.77,1658.26,784.66,1672.99,1562.63,1472.59,
26000000,0.8,488.697,1194.89,1003.45,787.224,663.251,2004.44,1667.86,1418.23,735.389,2108.6,1848.3,1655.65,781.422,1671.75,1561.95,1471.66,
31000000,0.8,489.034,1195.76,1004.33,787.857,662.112,2000.88,1665.29,1416.05,733.942,2106.65,1846.42,1652.46,780.077,1672.72,1562.96,1472.91,
36000000,0.8,488.83,1195.24,1003.21,786.939,661.225,1998.38,1663.32,1414.73,732.89,2103.99,1844.19,1650.93,778.586,1670.22,1562.34,1470.52,
41000000,0.8,488.663,1194.54,1002.64,786.437,660.673,1997.1,1663.19,1414.28,732.13,2103.51,1844.75,1652.18,777.813,1670.36,1561.46,1470.11,
46000000,0.8,489.223,1193.54,1002.24,785.974,660.518,1996.69,1663.36,1414.88,731.709,2102.52,1844.02,1652.03,776.754,1670.09,1561.94,1470.99,
51000000,0.8,489.229,1193.32,1001.95,785.668,660.411,1995.54,1662.15,1413.58,730.649,2101.62,1843.43,1651.06,776.344,1670.32,1561.87,1472.23,
56000000,0.8,489.309,1193.45,1001.79,785.654,660,1993.82,1661.41,1413.59,730.711,2100.55,1842.36,1650.72,775.627,1670.59,1561.86,1472.37,
61000000,0.8,489.326,1193.52,1001.85,785.644,659.691,1995.12,1661.42,1413.3,730.452,2099.84,1842.46,1650.96,774.764,1670.85,1562.76,1472.72,
66000000,0.8,489.491,1193.22,1001.84,785.483,659.719,1994.05,1661.92,1414.22,730.255,2098.47,1842.01,1650.56,774.771,1670.19,1561.16,1471.23,
71000000,0.8,489.496,1193.3,1001.62,785.674,659.683,1994.46,1662.16,1414.24,730.167,2100.45,1843.16,1651.62,774.209,1671.19,1563.3,1474.24,
76000000,0.8,489.652,1193.33,1001.65,785.671,659.364,1994.72,1662.65,1415.08,729.869,2099.8,1843.18,1652.1,774.266,1671.93,1562.39,1473.46,
81000000,0.8,489.801,1193.56,1001.83,785.559,659.23,1993.04,1661.31,1413.9,729.626,2099.05,1843.07,1652.2,773.649,1670.71,1562.31,1472.98,
86000000,0.8,490.093,1193.85,1002.1,785.692,659.165,1992.92,1661.62,1414.47,729.098,2097.88,1842.16,1651.25,773.641,1671.26,1562.87,1473.12,
91000000,0.8,490.249,1194.11,1002.3,785.781,659.402,1993.58,1662.03,1414.71,729.349,2098.4,1842.63,1652.25,773.046,1671.14,1562.66,1473.86,
96000000,0.8,490.225,1194.2,1002.11,785.756,659.131,1993.62,1662.34,1415.08,729.257,2099.14,1843.45,1652.96,773.231,1671.11,1562.67,1473.94,
