num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,628.586,772.305,642.721,609.804,695.861,888.314,642.271,608.357,805.224,1081.76,693.369,608.795,934.834,1334.04,785.715,609.31,
6000000,0.9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,493.703,716.675,592.085,559.75,550.129,827.859,592.02,559.322,636.516,1015.42,640.289,559.256,736.881,1261.69,728.283,559.624,
11000000,0.9,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,483.516,712.057,587.989,555.685,537.92,822.408,587.707,554.799,620.742,1009.48,636.084,555.408,716.337,1254.46,722.624,554.958,
16000000,0.9,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,502.574,758.487,626.394,591.839,556.34,874.916,625.566,590.646,636.744,1074.94,677.365,591.123,727.973,1336.61,770.026,591.339,
21000000,0.9,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,500.662,756.976,624.851,590.293,553.853,874.99,625.199,590.387,633.803,1073.91,676.543,590.485,723.858,1334.91,768.912,590.344,
26000000,0.9,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,499.319,756.228,624.141,589.708,552.473,873.823,624.347,589.653,631.843,1072.95,675.847,589.853,721.411,1333.93,768.101,589.86,
31000000,0.9,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,498.753,756.238,624.229,589.66,551.372,873.809,624.177,589.315,630.66,1072.71,675.462,589.585,719.699,1333.76,767.97,589.441,
36000000,0.9,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,498.056,755.759,623.771,589.322,550.841,873.278,623.77,589.078,629.598,1072.37,675.237,589.332,718.561,1333.68,767.844,589.482,
41000000,0.9,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,497.526,755.138,623.234,588.649,550.153,873.248,623.877,588.986,629.093,1071.53,674.411,588.498,717.87,1334.46,768.018,589.618,
46000000,0.9,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,497.308,754.063,622.48,588.163,549.73,873.428,623.982,589.015,628.519,1071.06,674.48,588.781,717.286,1333.25,767.249,588.895,
51000000,0.9,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,497.006,754.307,622.53,588.12,549.301,872.8,623.527,588.704,627.998,1071.82,674.799,588.879,716.554,1332.92,766.966,588.601,
56000000,0.9,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,496.785,755.092,623.305,588.881,549.017,873.189,623.702,588.903,627.62,1072.11,674.93,588.986,716.043,1332.02,766.397,588.168,
61000000,0.9,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,496.53,755.05,623.172,588.766,548.764,873.057,623.724,588.909,627.434,1071.76,674.663,588.819,715.57,1332.78,766.916,588.478,
66000000,0.9,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,496.29,754.428,622.837,588.36,548.62,872.742,623.326,588.594,627.102,1071.99,674.851,588.958,715.214,1333.35,766.957,588.658,
71000000,0.9,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,496.078,754.844,623.187,588.689,548.522,872.406,623.128,588.3,626.84,1072.42,675.156,588.959,715.047,1332.72,766.555,588.239,
76000000,0.9,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,495.796,754.974,623.245,588.837,548.158,873.113,623.572,588.865,626.496,1071.64,674.339,588.38,714.787,1333.23,766.874,588.393,
81000000,0.9,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,495.805,753.901,622.296,587.77,548.127,873.066,623.663,588.898,626.423,1071.89,674.632,588.669,714.441,1332.22,766.325,588.045,
86000000,0.9,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,-86,495.804,753.672,622.136,587.799,548.101,872.199,622.939,588.094,625.904,1071.14,674.212,588.213,714.358,1332.3,766.3,587.937,
91000000,0.9,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,495.737,754.546,622.842,588.307,547.933,872.86,623.406,588.681,626.164,1071.82,674.695,588.586,714.119,1332.93,766.788,588.515,
96000000,0.9,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,-96,495.655,753.981,622.44,587.914,547.894,872.243,622.968,588.183,625.979,1070.36,673.701,587.69,713.963,1333.18,766.937,588.766,
