num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,-1,-1,-1,-1,820.942,1282.52,1052.67,892.401,
6000000,0.9,-6,-6,-6,-6,583.923,1212.97,983.104,828.151,
11000000,0.9,-11,-11,-11,-11,569.649,1205.14,975.266,821.408,
16000000,0.9,-16,-16,-16,-16,594.1,1283.12,1039.41,875.727,
21000000,0.9,-21,-21,-21,-21,591.701,1282.9,1037.92,874.156,
26000000,0.9,-26,-26,-26,-26,589.579,1281.86,1037.38,873.597,
31000000,0.9,-31,-31,-31,-31,588.573,1281.4,1036.64,872.625,
36000000,0.9,-36,-36,-36,-36,587.767,1281.21,1036,872.082,
41000000,0.9,-41,-41,-41,-41,587.138,1280.95,1035.87,872.232,
46000000,0.9,-46,-46,-46,-46,586.703,1280.6,1035.06,871.565,
51000000,0.9,-51,-51,-51,-51,586.125,1281.14,1036.15,872.055,
56000000,0.9,-56,-56,-56,-56,585.672,1280.06,1035.29,871.605,
61000000,0.9,-61,-61,-61,-61,585.534,1279.48,1034.91,871.262,
66000000,0.9,-66,-66,-66,-66,585.359,1281.1,1036.11,872.267,
71000000,0.9,-71,-71,-71,-71,584.846,1280.46,1036.04,871.764,
76000000,0.9,-76,-76,-76,-76,584.61,1280.25,1035.81,871.64,
81000000,0.9,-81,-81,-81,-81,584.686,1280,1034.75,870.874,
86000000,0.9,-86,-86,-86,-86,584.307,1279.83,1034.82,870.94,
91000000,0.9,-91,-91,-91,-91,584.159,1280.27,1034.98,871.198,
96000000,0.9,-96,-96,-96,-96,584.051,1278.81,1034.41,870.983,
