num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,1.52943,1.51266,1.73888,2.1716,1.02429,1.02277,1.07825,1.13834,1.00568,1.00404,1.0211,1.03823,1.00202,1.00029,1.00246,1.0046,
20000000,0.65,1.62071,1.59289,1.854,2.34302,1.03607,1.03444,1.11711,1.20556,1.0096,1.00785,1.03981,1.07138,1.00278,1.00091,1.00727,1.01349,
20000000,0.7,1.73135,1.68524,1.98353,2.52903,1.05229,1.05056,1.1699,1.29644,1.0161,1.01423,1.07036,1.12485,1.00447,1.00246,1.01859,1.03417,
20000000,0.75,1.87005,1.79285,2.13029,2.73075,1.0747,1.07287,1.24094,1.41793,1.02638,1.02441,1.11818,1.20799,1.00798,1.00583,1.04192,1.07624,
20000000,0.8,2.0532,1.9203,2.29986,2.94881,1.10601,1.10399,1.33593,1.57936,1.04251,1.04044,1.19146,1.33447,1.01485,1.01256,1.08654,1.15582,
20000000,0.82,2.14591,1.97845,2.37576,3.04067,1.12217,1.11998,1.38228,1.65741,1.05131,1.0492,1.23025,1.40121,1.01906,1.01672,1.1132,1.20305,
20000000,0.84,2.25419,2.04086,2.45715,3.1356,1.14105,1.13859,1.43429,1.74464,1.06193,1.05975,1.2761,1.48014,1.02445,1.02205,1.14719,1.26323,
20000000,0.86,2.38371,2.10823,2.54506,3.23297,1.16323,1.16029,1.49275,1.84211,1.07504,1.07272,1.33014,1.57273,1.03141,1.02894,1.19028,1.33924,
20000000,0.88,2.54452,2.18118,2.64099,3.3335,1.19015,1.18634,1.55896,1.95138,1.09113,1.08856,1.39383,1.6818,1.04039,1.03782,1.24419,1.43429,
20000000,0.9,2.75278,2.25974,2.7463,3.43697,1.22352,1.21809,1.63409,2.07359,1.11132,1.10819,1.46883,1.81018,1.05235,1.04958,1.31299,1.55525,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,1.24341,1.23666,1.67563,2.14031,1.12363,1.12002,1.51172,1.88336,1.05969,1.05675,1.35361,1.62689,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,1.2661,1.25755,1.72025,2.21111,1.1378,1.13348,1.55843,1.96287,1.06844,1.06518,1.39974,1.70795,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,1.29266,1.28149,1.76834,2.28596,1.15431,1.14891,1.6093,2.04915,1.07876,1.07498,1.45164,1.79912,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,1.32389,1.30897,1.82068,2.36609,1.17404,1.16702,1.6657,2.14426,1.09125,1.08661,1.51054,1.90267,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,1.36195,1.34142,1.87814,2.4514,1.19799,1.18845,1.72775,2.24826,1.10656,1.1005,1.57758,2.02054,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,1.4098,1.38055,1.94198,2.54267,1.22862,1.21505,1.79745,2.36307,1.12663,1.11804,1.65483,2.1555,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,1.4737,1.43002,2.01486,2.64093,1.26889,1.24862,1.87682,2.49122,1.15346,1.14051,1.74461,2.31125,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,1.56736,1.49722,2.10153,2.74728,1.32798,1.29537,1.96922,2.63385,1.19283,1.17199,1.85124,2.49253,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,1.43135,1.37211,2.08609,2.79746,1.26187,1.22519,1.98677,2.71086,
