num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,2.00644,1.32673,1.67119,2,2.00647,1.33503,1.67159,2,
20000000,0.65,2.00696,1.32807,1.67134,2,2.00698,1.33574,1.67166,2,
20000000,0.7,2.00748,1.32905,1.67134,2,2.00752,1.33618,1.67165,2,
20000000,0.75,2.00801,1.33004,1.67145,2,2.00803,1.33671,1.67165,2,
20000000,0.8,2.00855,1.33087,1.67146,2,2.00858,1.33704,1.67163,2,
20000000,0.82,2.00875,1.33105,1.67144,2,2.00879,1.33729,1.67167,2,
20000000,0.84,2.00894,1.33141,1.67148,2,2.00901,1.33742,1.67166,2,
20000000,0.86,-5e-08,-5e-08,-5e-08,-5e-08,2.00926,1.33751,1.67162,2,
20000000,0.88,-5e-08,-5e-08,-5e-08,-5e-08,2.00944,1.3377,1.67167,2,
20000000,0.9,-5e-08,-5e-08,-5e-08,-5e-08,2.00964,1.33777,1.67161,2,
20000000,0.91,-5e-08,-5e-08,-5e-08,-5e-08,2.00976,1.33786,1.67166,2,
20000000,0.92,-5e-08,-5e-08,-5e-08,-5e-08,2.00987,1.3379,1.67166,2,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,-5e-08,
