num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
50000000,0.6,1127.14,1966.35,1501.35,1422.48,1291.76,2495.84,1616.58,1422.3,1498.15,3329.27,1898.43,1422.46,1612.12,3861.27,2056.04,1422.32,789.64,1108.46,852.296,806.21,950.099,1416.46,908.533,806.354,1225.08,2044.78,1120.52,806.299,1316.15,2280.39,1187.99,806.371,
50000000,0.65,1115.63,1932.69,1502.42,1424.08,1262.64,2392.9,1582,1424.35,1454.39,3129.53,1834.24,1424.13,1594.9,3774.36,2033.77,1424.17,779.524,1089.97,853.038,806.952,921.416,1358.62,888.645,806.898,1171.18,1906.07,1078.49,806.943,1307.09,2254.62,1181.59,806.938,
50000000,0.7,1106.01,1905.1,1503.75,1425.63,1239.6,2311.69,1556.3,1425.71,1411.73,2948.43,1773.18,1425.51,1572.57,3663.33,2001.74,1425.74,771.127,1075.22,853.543,807.43,898.415,1312.64,874.288,807.52,1116.48,1775.85,1035.59,807.483,1291.3,2211.17,1169.74,807.485,
50000000,0.75,1098.63,1882.29,1504.98,1426.54,1219.69,2245.54,1537.84,1426.74,1375.2,2796.68,1720.13,1426.65,1545.65,3524.58,1960.72,1426.74,764.418,1062.66,854.209,808.11,879.054,1275.1,864.675,808.267,1070.85,1671.35,1000.01,808.132,1265.4,2142.74,1150.97,808.304,
50000000,0.8,1092.24,1862.79,1506.45,1428.61,1203.01,2191.25,1525.52,1428.07,1343.82,2673.36,1676.58,1428.64,1510.01,3364.76,1911.69,1428.02,758.845,1052.2,854.972,808.755,863.722,1244.3,859.164,808.8,1033.68,1589.11,970.748,808.772,1229.7,2046.56,1122.78,808.863,
50000000,0.82,1089.68,1856.05,1507.31,1428.56,1197.28,2172.83,1522.54,1428.67,1333.09,2631.48,1661.43,1428.67,1496.72,3298.02,1890.58,1428.64,756.55,1048.17,855.118,808.978,858.069,1233.63,858.307,809.066,1020.47,1560.46,960.346,809.006,1212.6,2002.29,1109.64,809.042,
50000000,0.84,-50,-50,-50,-50,-50,-50,-50,-50,1322.02,2591.6,1647.45,1429.05,-50,-50,-50,-50,754.66,1044.74,855.433,809.16,852.592,1223.5,857.42,809.302,1008.51,1534.65,950.992,809.135,1193.25,1955.34,1095.23,809.275,
50000000,0.86,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,752.811,1041.34,855.829,809.51,847.659,1213.94,857.068,809.556,997.469,1511.12,942.424,809.487,1175.36,1910,1081.18,809.524,
50000000,0.88,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,750.842,1038.18,856.065,809.897,842.891,1204.86,856.563,809.724,986.738,1489.3,934.37,809.893,1156.98,1866.71,1066.9,809.768,
50000000,0.9,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,749.295,1035.13,856.126,809.982,838.664,1196.53,856.783,810.089,977.058,1468.45,926.649,809.966,1140.28,1825.4,1053.72,810.138,
50000000,0.91,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,748.471,1033.86,856.39,810.03,836.695,1192.74,856.643,809.951,972.639,1458.81,923.257,810.072,1131.7,1806.09,1047,809.982,
50000000,0.92,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,747.93,1032.41,856.485,810.17,834.791,1188.85,856.84,810.242,959.916,1449.28,919.722,810.224,1123.87,1787.36,1041.03,810.22,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
