num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,1619.63,6916.17,5940.16,4997.76,2365.29,6580.61,5070.42,4176.91,2237.03,5177.96,3720.24,3039.41,1842.26,3835.67,3096.27,2682.86,
6000000,0.9,726.486,2673.32,2219.63,1791.42,1551.49,4538.63,3478.2,2794.57,1665.8,3977.04,3004.35,2453.26,1436.49,2421.63,1952.15,1659.74,
11000000,0.9,682.884,2435.15,2019.63,1627.28,1469.35,4207.84,3214.68,2574.46,1571.8,3792.88,2870.48,2341.62,1350.99,2308.71,1860.57,1581.06,
16000000,0.9,667.625,2356.18,1952.91,1573.45,1443.25,4093.96,3121.19,2497.72,1538.2,3722.01,2819.23,2298.13,1319.49,2267.71,1829.88,1554.99,
21000000,0.9,659.815,2317.24,1921.16,1546.43,1428.76,4032.05,3073.39,2457.67,1520.92,3685.61,2793.14,2277.13,1302.32,2246.18,1810.99,1538.7,
26000000,0.9,654.874,2292.92,1901.81,1530.51,1419.5,3996.76,3046.59,2436.44,1512.56,3666.73,2780.68,2265.3,1291.79,2234.21,1802.1,1531.6,
31000000,0.9,652.255,2280.18,1890.07,1520.16,1412.63,3975.19,3030.46,2421.45,1504.99,3654.4,2767.55,2255.86,1285.28,2225.91,1795.69,1525.95,
36000000,0.9,650.055,2269.4,1880.94,1513.46,1409.06,3957.79,3016.82,2410.8,1500.12,3640.15,2760.15,2248.66,1279.63,2218.66,1790.28,1521.47,
41000000,0.9,648.741,2261.37,1873.85,1507.19,1405.97,3942.6,3004.56,2400.73,1495.46,3632.06,2754.17,2244.62,1276.43,2215.51,1788.29,1519.14,
46000000,0.9,647.507,2254.8,1869.38,1503.28,1403.34,3934.34,2997.27,2394.79,1492.36,3627.65,2751.94,2241.34,1273.77,2212.06,1784.84,1516.32,
51000000,0.9,647.297,2251.63,1865.67,1500.13,1400.82,3925.77,2992.55,2390.72,1490.52,3623.9,2747.62,2238.56,1271.6,2209.34,1783.09,1514.87,
56000000,0.9,646.602,2247.92,1862.69,1497.25,1399.33,3921.66,2986.95,2386.35,1488.78,3620.25,2745.66,2236.74,1270.02,2207.47,1780.98,1513.17,
61000000,0.9,646.04,2244.62,1859.64,1495.23,1398.22,3916.83,2984.02,2383.45,1487.66,3618.48,2744.77,2235.96,1268.69,2204.95,1780.41,1513.12,
66000000,0.9,646.112,2242.14,1858.23,1493.52,1397.12,3912.63,2981.04,2380.91,1485.25,3615.58,2742.09,2233.58,1266.43,2202.99,1779.63,1512.3,
71000000,0.9,645.489,2239.95,1855.77,1491.87,1395.74,3906.38,2977.34,2378.33,1484.97,3612.92,2741.23,2233.28,1266.06,2202.2,1779.13,1512.4,
76000000,0.9,645.635,2238.51,1854.78,1491.05,1395.07,3903.25,2975.81,2377.52,1483.82,3610.21,2739.33,2232.11,1264.43,2200.53,1777.94,1511.24,
81000000,0.9,640.831,2236.86,1853.22,1489.66,1394.45,3903.28,2974.07,2374.84,1483.09,3608.57,2741.38,2230.51,1257.22,2199.35,1776.79,1510.53,
86000000,0.9,645.601,2235.71,1852.63,1488.87,1394,3900.66,2972.14,2373.24,1482.47,3608.79,2737.11,2230.29,1263.41,2198.9,1776.56,1509.86,
91000000,0.9,645.61,2234.85,1851.28,1487.77,1393.95,3900.13,2971.27,2373.21,1482.06,3606.94,2737.15,2230.3,1262.4,2198.05,1775.98,1509.57,
96000000,0.9,645.362,2234.3,1850.62,1487.09,1393.68,3896.98,2970.37,2372.08,1482.08,3606.17,2736.57,2230.25,1261.69,2197.41,1776.01,1509.72,
