num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1256.6,2008.15,1711.18,1639.63,1370.02,2267.91,1712.07,1639.08,1530.54,2669.66,1831.17,1639.9,1712.44,3170.66,2045.16,1638.8,
6000000,0.9,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,827.928,1140.4,947,897.535,931.212,1316.54,947.475,897.15,1092.83,1612.38,1023.35,897.631,1285.81,1998.49,1162.81,897.122,
11000000,0.9,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,786.762,1084.12,898.725,850.839,882.969,1252.02,898.71,850.644,1032.57,1535.37,971.95,850.752,1184.05,1905.66,1104.08,850.651,
16000000,0.9,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,771.876,1063.97,880.674,834,865.344,1229.78,881.399,833.943,1010.16,1507.45,952.86,833.894,1181.53,1873.14,1083.15,834.009,
21000000,0.9,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,764.28,1054.13,872.443,825.513,856.159,1217.9,872.833,825.447,998.856,1494.1,943.969,825.467,1166.82,1855.69,1072.6,825.507,
26000000,0.9,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,759.127,1047.49,866.867,820.299,850.406,1210.77,867.344,820.267,991.508,1485.56,938,820.288,1158.18,1846.36,1066.45,820.299,
31000000,0.9,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,755.747,1043.09,863.017,816.843,846.561,1206.34,864.032,816.962,986.837,1479.33,934.068,816.881,1152.18,1839.25,1062.15,816.947,
36000000,0.9,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,-36,753.263,1040.32,860.789,814.319,843.559,1202.56,861.223,814.466,983.238,1475.18,931.469,814.273,1147.25,1833.17,1058.81,814.407,
41000000,0.9,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,-41,751.409,1038,858.734,812.445,841.432,1200.18,859.349,812.506,980.476,1472.14,929.261,812.374,1144.15,1830.75,1056.76,812.55,
46000000,0.9,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,750.009,1036.48,857.373,810.829,839.598,1198.26,857.816,810.907,978.063,1470.15,928.038,810.854,1141.35,1827.31,1054.7,810.971,
51000000,0.9,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,749.062,1035.18,856.101,809.772,838.509,1196.66,856.514,809.769,976.956,1468.05,926.547,809.785,1139.62,1825.36,1053.3,809.81,
56000000,0.9,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,748.007,1033.84,854.998,808.79,837.497,1195.22,855.37,808.783,975.989,1466.57,925.481,808.774,1138.19,1823.59,1052.18,808.784,
61000000,0.9,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,747.301,1032.8,854.159,807.882,836.501,1194.09,854.676,808.095,974.321,1465.21,924.452,807.866,1136.7,1821.7,1051.26,808.051,
66000000,0.9,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,746.571,1031.94,853.532,807.22,835.376,1192.86,853.898,807.28,973.279,1464.19,923.772,807.199,1135.18,1820.06,1050.25,807.261,
71000000,0.9,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,745.943,1031.19,852.878,806.813,834.95,1192.21,853.297,806.719,972.638,1462.82,923.091,806.828,1134.48,1819.22,1049.49,806.746,
