num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,2427.26,4283.11,3884.5,3579.77,1522.53,2881.56,2456.14,2170.14,
6000000,0.8,1342.42,3289.75,2729.48,2345.72,991.748,1885.8,1540.93,1306.85,
11000000,0.8,1269.29,3163.75,2602.46,2222.86,935.286,1814.1,1476.02,1248.42,
16000000,0.8,1242.97,3113.91,2555.07,2177.94,923.092,1787.1,1452.5,1227.07,
21000000,0.8,1229.04,3089.18,2530.3,2154.77,913.869,1773.76,1440.29,1216.2,
26000000,0.8,1220.64,3075.27,2516.51,2141.57,907.889,1765.54,1432.9,1209.56,
31000000,0.8,1215.04,3064.8,2506.31,2132.25,903.98,1760.31,1428.21,1205.34,
36000000,0.8,1210.82,3057.81,2499.86,2126.4,900.952,1756.08,1424.49,1202.03,
41000000,0.8,1208.08,3052.29,2494.68,2121.5,898.827,1753.04,1421.98,1199.66,
46000000,0.8,1205.1,3049.19,2491.02,2117.84,897.214,1751.24,1419.98,1197.69,
51000000,0.8,1203.11,3045.58,2487.35,2114.49,895.824,1748.99,1418.18,1196.27,
56000000,0.8,1201.55,3042.44,2484.69,2111.9,894.644,1747.35,1416.72,1194.97,
61000000,0.8,1200.4,3040.51,2482.58,2110.02,893.64,1745.99,1415.6,1193.88,
66000000,0.8,1198.91,3039.22,2481.04,2108.48,892.856,1745.08,1414.65,1192.99,
71000000,0.8,1198.05,3036.8,2479.77,2106.92,892.361,1744.26,1413.76,1192.38,
76000000,0.8,1196.87,3035.04,2477.72,2105.56,891.622,1743.42,1413.14,1191.7,
81000000,0.8,1196.09,3033.57,2476.47,2104.36,891.096,1742.92,1412.34,1191.04,
86000000,0.8,1195.31,3032.29,2475.25,2103.26,890.518,1741.9,1411.83,1190.52,
91000000,0.8,1195.06,3032.11,2477.85,2102.49,890.194,1741.33,1411.6,1190.14,
96000000,0.8,1194.08,3030.57,2473.47,2101.84,889.783,1741,1411,1189.82,
