num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
50000000,0.6,1301.67,2320.62,1797.54,1709.82,1418.16,2917.29,1925.74,1709.85,1537.07,3842.04,2250.07,1709.79,1601.75,4448.71,2440.71,1709.83,885.003,1386.32,1072.01,1016.33,1069.11,1765.28,1141.35,1016.33,1382.99,2530.99,1404.26,1016.35,1455.83,2825.47,1490.32,1016.41,
50000000,0.65,1293.46,2283.44,1798.48,1712.46,1399.37,2803.09,1887.35,1712.4,1519.11,3621.59,2175.89,1712.15,1591.46,4349.63,2412.53,1712.15,873.312,1363.77,1072.87,1017.17,1035.91,1694.33,1116.6,1017.14,1322.46,2363.56,1351.66,1017.09,1451.12,2791.77,1481.59,1017.1,
50000000,0.7,1287.12,2252.52,1800.59,1714.52,1383.23,2713.67,1858.72,1714.54,1497.01,3422.98,2106.41,1714.48,1578.31,4221.29,2374.71,1714.23,863.662,1345.52,1073.63,1017.94,1008.82,1637.96,1098.8,1017.95,1258.5,2204.48,1298.89,1017.96,1441.26,2736.68,1466.38,1018.01,
50000000,0.75,1282.05,2227.08,1802.52,1716.06,1371.31,2640.54,1838.79,1716.41,1475.01,3255.79,2046,1716.16,1564.53,4064,2325.81,1716.34,855.566,1330.22,1074.59,1018.78,986.759,1592.45,1087.17,1018.71,1206.2,2077.12,1254.46,1018.73,1422.6,2652.58,1442.52,1018.78,
50000000,0.8,1277.42,2205.45,1804.61,1718.3,1359.5,2579.58,1825.99,1718.49,1455.39,3121.52,1996.76,1718.5,1551.03,3887.78,2268.26,1718.87,848.718,1317.25,1075.31,1019.54,968.511,1554.79,1080.72,1019.59,1162.59,1976.89,1218.36,1019.57,1385.76,2534.85,1407.46,1019.54,
50000000,0.82,1275.83,2197.68,1805.43,1719.34,1355.33,2558.84,1822.33,1719.24,1448.32,3074.57,1979.6,1718.98,1545.03,3813.62,2244.24,1719.26,846.174,1312.56,1075.82,1019.85,962.147,1541.26,1079.29,1019.86,1147.52,1942.35,1205.63,1019.86,1366.64,2479.79,1390.74,1019.86,
50000000,0.84,1277.46,2190.7,1806.21,1719.68,1355.86,2538.31,1819.14,1719.63,1441.62,3030.6,1963.56,1719.49,-50,-50,-50,-50,843.803,1308.03,1076.04,1020.12,955.63,1528.81,1078.34,1020.16,1133.66,1911.04,1193.99,1020.11,1345.11,2424.15,1373.19,1020.25,
50000000,0.86,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,841.595,1304.06,1076.42,1020.45,950.069,1516.89,1077.85,1020.53,1120.72,1881.78,1183.24,1020.36,1323.99,2368.84,1355.21,1020.49,
50000000,0.88,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,839.563,1299.94,1076.69,1020.86,944.616,1506.09,1077.65,1020.77,1108.57,1854.7,1173.23,1020.78,1303.16,2315.46,1338.02,1020.9,
50000000,0.9,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,837.541,1296.31,1077,1021.16,939.609,1495.9,1077.58,1021.11,1097.44,1829.76,1163.97,1021.22,1283.49,2265.34,1321.22,1021.18,
50000000,0.91,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,836.636,1294.67,1077.25,1021.28,937.059,1490.98,1077.68,1021.33,1092.27,1817.72,1159.69,1021.39,1273.87,2242.15,1313.46,1021.32,
50000000,0.92,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,836.961,1292.88,1077.39,1021.42,934.506,1485.93,1077.86,1021.5,1086.84,1806.66,1155.36,1021.43,1264.62,2219.41,1305.63,1021.45,
50000000,0.93,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.94,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.95,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.96,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.97,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.98,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
50000000,0.99,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,
