num_keys,load_factor,insert_1,find_1_100,find_1_50,find_1_0,insert_8,find_8_100,find_8_50,find_8_0,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.9,1582.49,8455.09,7287.78,6184.69,2380.37,6772.28,5219.47,4332.58,2355.95,5467.87,3934.58,3202.89,1939.3,4359.65,3477.79,3005.73,
6000000,0.9,737.396,2800.58,2335.34,1898.76,1520.5,4465.31,3445.88,2781.57,1634,4576.92,3437.39,2795.77,1613.18,2977.32,2397.85,2040.46,
11000000,0.9,692.35,2545.9,2124.94,1723.47,1440.92,4188.97,3233.94,2606.76,1544.32,4378.67,3307.22,2696.6,1505.17,2848.03,2295.44,1950.29,
16000000,0.9,676.992,2464.55,2056.52,1665.58,1412.5,4088.92,3157.01,2544.29,1512.81,4292.7,3252.9,2653.12,1464.86,2801.28,2257.82,1918.05,
21000000,0.9,668.374,2424.84,2024.18,1638.12,1396.97,4040.31,3116.69,2509.12,1493.85,4250.41,3222.88,2629.04,1442.99,2776.47,2238.53,1901.27,
26000000,0.9,664.315,2403.8,2005.09,1622.82,1388.3,4012.17,3093.29,2490.47,1483.62,4223.18,3205.81,2615.84,1432.5,2761.86,2226.41,1891.72,
31000000,0.9,660.382,2389.3,1991.52,1611.76,1381.82,3993.54,3077.82,2478,1476.65,4202.72,3193.94,2606,1422.79,2752.73,2219.31,1885.37,
36000000,0.9,658.462,2379.41,1982.99,1604.33,1377.99,3978.71,3067.79,2468.6,1471.69,4189.71,3183.38,2597.78,1416.42,2745.42,2213.33,1880.64,
41000000,0.9,657.727,2370.24,1974.74,1598.15,1374.4,3966.42,3057.86,2460.54,1468.02,4178.18,3174.98,2592.09,1411.97,2740.17,2209.26,1877.02,
46000000,0.9,656.143,2362.43,1970.35,1593.82,1372.26,3957.32,3052.38,2455.63,1464.71,4170.59,3171.71,2588.87,1407.85,2735.92,2206.51,1875.08,
51000000,0.9,656.215,2359.6,1966.89,1590.71,1370.31,3953.04,3047.18,2451.37,1463.22,4163.51,3167.11,2585.32,1404.87,2732.36,2204.13,1873.1,
56000000,0.9,655.674,2355.85,1963.59,1587.69,1368.94,3947.53,3042.78,2447.9,1461.27,4159.98,3164.2,2582.78,1403.25,2730.01,2202.5,1871.74,
61000000,0.9,654.385,2352.35,1960.59,1585.3,1367.48,3944.98,3040.79,2446.76,1459.54,4156.66,3162.28,2581.45,1401.48,2728.04,2201.29,1870.42,
66000000,0.9,653.894,2349.34,1958.45,1583.53,1367.01,3941.2,3037.36,2443.61,1458.21,4155.53,3159.58,2580.16,1400.2,2726.18,2200.16,1869.33,
71000000,0.9,653.672,2346.07,1956.11,1581.71,1366.2,3937.19,3035.15,2441,1457.83,4148.25,3156.51,2578.17,1398.69,2724.25,2198.54,1869.06,
76000000,0.9,653.708,2345.22,1954.7,1580.39,1365.32,3933.18,3033.2,2439.7,1456.44,4144.7,3155.08,2576.8,1397.24,2722.47,2198.04,1868,
81000000,0.9,654.375,2344.53,1953.73,1579.96,1365.05,3934.03,3032.11,2439.73,1456.23,4143.94,3154.98,2576.3,1396.11,2721.53,2197.41,1867.7,
86000000,0.9,653.614,2343.04,1953.17,1578.64,1364.33,3932.61,3031.15,2438.46,1455.18,4142.47,3153.47,2575.3,1395.33,2720.76,2196.82,1867.28,
91000000,0.9,653.633,2341.01,1951.64,1577.46,1364.41,3931.85,3030.92,2437.38,1454.79,4142.45,3153.42,2574.82,1394.47,2720.28,2196.61,1867.06,
96000000,0.9,653.589,2339.88,1950.59,1576.76,1363.58,3927.34,3027.82,2435.99,1454.42,4137.21,3151.04,2574.31,1393.74,2719.24,2196.07,1866.96,
