num_keys,load_factor,insert_16_20,find_16_20_100,find_16_20_50,find_16_20_0,insert_16_40,find_16_40_100,find_16_40_50,find_16_40_0,insert_16_60,find_16_60_100,find_16_60_50,find_16_60_0,insert_16_80,find_16_80_100,find_16_80_50,find_16_80_0,insert_32_20,find_32_20_100,find_32_20_50,find_32_20_0,insert_32_40,find_32_40_100,find_32_40_50,find_32_40_0,insert_32_60,find_32_60_100,find_32_60_50,find_32_60_0,insert_32_80,find_32_80_100,find_32_80_50,find_32_80_0,
1000000,0.8,2059.92,3263.95,2880.72,2844.61,2242.09,3685.14,2900.39,2845.46,2455.08,4266.33,3098.23,2853.78,2725.92,5031.23,3447.1,2846.29,1303.53,2180.31,1830.83,1758.94,1440.26,2507.22,1841.88,1757.67,1646.63,3070.95,2041.31,1756.72,1883.45,3789.53,2305.93,1758.62,
6000000,0.8,1441.2,2446.5,2028.73,1941.54,1530.13,2847.4,2049.45,1941.6,1633.79,3424.53,2227.98,1941.22,1735.78,4228.76,2525.05,1942.25,922.256,1427.38,1171.31,1112.79,1059.88,1680.78,1176.63,1112.34,1286.61,2130.99,1323.88,1112.91,1553.96,2723.52,1527.79,1112.98,
11000000,0.8,1360.76,2327.92,1917.02,1829.39,1444.21,2717.55,1937.27,1830.26,1542.24,3277.36,2112.65,1829.52,1639.75,4065.16,2396.95,1829.2,884.225,1369.71,1120.97,1063.57,1013.29,1615.25,1126.28,1063.88,1222.55,2050.58,1268.25,1063.57,1467.99,2624.08,1464.31,1063.8,
16000000,0.8,1328.17,2280.02,1872.15,1785.9,1410.08,2662.07,1893.37,1785.27,1510.15,3213.83,2067.78,1785.33,1602.93,3992.9,2346.03,1785.27,869.559,1348.31,1102.45,1045.85,994.802,1590.43,1107.92,1045.84,1198.55,2020.64,1247.85,1045.84,1436.17,2587.65,1441.29,1045.81,
21000000,0.8,1310.09,2253.58,1848.02,1761.57,1393.09,2633.12,1869.38,1762.01,1489.07,3182.76,2042.2,1761.69,1584.33,3955.91,2318.68,1761.48,862.176,1337.45,1093.02,1036.47,985.461,1577.82,1098.21,1036.58,1187.74,2005.18,1237.44,1036.53,1420.05,2568.55,1429.27,1036.49,
26000000,0.8,1298.88,2237.93,1834.86,1747.41,1381.41,2615.7,1855.33,1747.32,1477.74,3161.7,2027.23,1747.16,1573.41,3933.36,2302.61,1747.51,857.574,1330.62,1087.1,1030.82,979.917,1569.89,1092.33,1030.9,1177.84,1995.54,1231.1,1030.94,1406.65,2558.71,1421.87,1030.8,
31000000,0.8,1291.79,2229.35,1824.27,1737.98,1374.27,2603.23,1845.47,1737.72,1470.34,3149.09,2016.66,1737.78,1565.65,3917.88,2290.87,1737.87,854.509,1326.28,1083.21,1027.29,975.968,1564.91,1088.67,1027.18,1172.87,1989.61,1226.97,1027.19,1399.65,2550.44,1417.2,1027.07,
36000000,0.8,1286.59,2220.16,1817,1730.86,1368.89,2594.94,1838.72,1730.85,1465.37,3138.14,2009.88,1730.97,1560.82,3906.73,2282.99,1730.83,852.565,1322.81,1080.32,1024.32,973.284,1560.9,1085.54,1024.42,1168.99,1984.69,1223.67,1024.36,1394.9,2544.33,1413.41,1024.49,
41000000,0.8,1282.71,2213.45,1811.76,1725.32,1364.8,2587.91,1833.19,1725.6,1460.82,3130.47,2003.83,1725.22,1556.13,3897.54,2276.28,1725.84,850.757,1320.12,1078.12,1022.14,971.191,1557.87,1083.48,1022.13,1166.01,1981.05,1221.23,1022.19,1390.86,2540.24,1410.45,1022.19,
46000000,0.8,1280.47,2209.14,1807.51,1721.38,1362.76,2583.22,1828.74,1721.65,1457.41,3124.89,1999.48,1721.2,1552.97,3892.78,2271.82,1721.19,849.504,1318.38,1076.38,1020.54,969.501,1556.02,1081.71,1020.51,1164.03,1978.92,1219.49,1020.52,1388.42,2538.07,1408.63,1020.58,
