num_keys,load_factor,insert_16,find_16_100,find_16_50,find_16_0,insert_32,find_32_100,find_32_50,find_32_0,
1000000,0.8,2514.87,4630.45,4233.04,3936.16,1605.18,3353.58,2846.29,2516.26,
6000000,0.8,1542.46,3812.71,3222.98,2814.03,1166.94,2324.41,1914.39,1634.6,
11000000,0.8,1461.79,3672.92,3076.23,2660.87,1124.01,2241.13,1838.66,1565.05,
16000000,0.8,1430.66,3609.38,3011.82,2598.49,1108.29,2209.79,1811.13,1539.32,
21000000,0.8,1411.38,3577.59,2977.76,2565.34,1100.27,2194.69,1796.8,1525.98,
26000000,0.8,1400.37,3558.7,2957.94,2546.19,1095.01,2184.91,1787.98,1517.83,
31000000,0.8,1393.29,3544.65,2943.37,2532.9,1091.79,2179.15,1782.35,1512.89,
36000000,0.8,1387.99,3533.82,2934.53,2523.49,1089.57,2173.86,1777.82,1508.55,
41000000,0.8,1384.08,3526.83,2926.68,2516.26,1087.24,2172.49,1775.28,1505.61,
46000000,0.8,1381.42,3520.22,2922.13,2511.89,1086.2,2168.17,1772.14,1503.39,
51000000,0.8,1378.79,3515.81,2915.37,2505.18,1084.82,2165.66,1770.16,1501.37,
56000000,0.8,1377.62,3510.94,2911.23,2500.98,1084.24,2163.57,1768.25,1499.83,
61000000,0.8,1376,3510.21,2908.68,2498.01,1083.5,2162.65,1766.92,1498.62,
66000000,0.8,1374.35,3507.23,2906.23,2495.03,1082.49,2161.01,1765.9,1498.39,
71000000,0.8,1372.84,3502.91,2903.1,2492.95,1081.69,2160.04,1764.71,1496.55,
76000000,0.8,1371.73,3500.09,2900.74,2490.33,1081.17,2158.78,1763.98,1495.8,
81000000,0.8,1370.99,3499.02,2898.41,2488.97,1080.76,2158.15,1763.09,1495,
86000000,0.8,1369.45,3497.7,2896.83,2487.11,1081.05,2157.42,1762.39,1494.31,
91000000,0.8,1368.67,3496.81,2896.16,2486.39,1080.05,2156.53,1762.05,1493.91,
96000000,0.8,1367.98,3493.61,2893.99,2484.62,1079.84,2156.09,1761.42,1493.53,
